"event","experiment time","system time","system time text"
"START",0.000000000E0,1624009179.301,"2021-06-18 11:39:39.301 UTC+02:00"
"PAUSE",6.000626116E2,1624009779.363,"2021-06-18 11:49:39.363 UTC+02:00"
