"event","experiment time","system time","system time text"
"START",0.000000000E0,1624008321.078,"2021-06-18 11:25:21.078 UTC+02:00"
"PAUSE",6.000570526E2,1624008921.135,"2021-06-18 11:35:21.135 UTC+02:00"
