"event","experiment time","system time","system time text"
"START",0.000000000E0,1624010580.701,"2021-06-18 12:03:00.701 UTC+02:00"
"PAUSE",6.000710010E2,1624011180.772,"2021-06-18 12:13:00.772 UTC+02:00"
