"event","experiment time","system time","system time text"
"START",0.000000000E0,1622381293.491,"2021-05-30 21:28:13.491 UTC+08:00"
"PAUSE",3.000204156E2,1622381593.512,"2021-05-30 21:33:13.512 UTC+08:00"
