"event","experiment time","system time","system time text"
"START",0.000000000E0,1622380504.565,"2021-05-30 21:15:04.565 UTC+08:00"
"PAUSE",3.000058424E2,1622380804.570,"2021-05-30 21:20:04.570 UTC+08:00"
