"event","experiment time","system time","system time text"
"START",0.000000000E0,1622380859.034,"2021-05-30 21:20:59.034 UTC+08:00"
"PAUSE",3.000045300E2,1622381159.038,"2021-05-30 21:25:59.038 UTC+08:00"
