Time (s),Illuminance (lx)
2.488596948E1,2.900000095E0
2.508599464E1,3.200000048E0
2.528596948E1,3.099999905E0
2.548607615E1,3.400000095E0
2.568597006E1,3.700000048E0
2.588596974E1,4.300000191E0
2.608596933E1,5.099999905E0
2.628595839E1,6.000000000E0
2.648609120E1,6.900000095E0
2.668596922E1,8.399999619E0
2.688596901E1,9.399999619E0
2.708597000E1,9.899999619E0
2.728594938E1,1.060000038E1
2.748607974E1,1.150000000E1
2.768597000E1,1.389999962E1
2.788596980E1,1.569999981E1
2.808597006E1,1.729999924E1
2.828597011E1,2.020000076E1
2.848596943E1,2.239999962E1
2.868609422E1,2.520000076E1
2.888597032E1,2.789999962E1
2.908597000E1,3.270000076E1
2.928596927E1,3.570000076E1
2.948596933E1,4.009999847E1
2.968607922E1,3.329999924E1
2.988596954E1,3.990000153E1
3.008596896E1,5.300000000E1
3.028596959E1,5.409999847E1
3.048594886E1,5.109999847E1
3.068609365E1,4.590000153E1
3.088596927E1,3.879999924E1
3.108596948E1,3.759999847E1
3.128597042E1,3.670000076E1
3.148596797E1,2.829999924E1
3.168596927E1,2.239999962E1
3.188596954E1,1.850000000E1
3.208596933E1,1.550000000E1
3.228596959E1,1.400000000E1
3.248597006E1,1.300000000E1
3.258596985E1,1.139999962E1
3.278596959E1,1.110000038E1
3.298596917E1,9.199999809E0
3.318597011E1,8.300000191E0
3.338608854E1,7.699999809E0
3.358596980E1,6.599999905E0
3.378596792E1,5.300000191E0
3.398597006E1,4.000000000E0
3.418596063E1,3.099999905E0
3.438607323E1,2.500000000E0
3.458596927E1,2.599999905E0
3.478596907E1,3.099999905E0
3.498596901E1,3.200000048E0
3.518596792E1,2.700000048E0
3.538596792E1,2.700000048E0
3.558597006E1,2.900000095E0
3.578596980E1,3.000000000E0
3.598596980E1,2.900000095E0
3.618596927E1,2.900000095E0
3.638597110E1,2.700000048E0
3.658607584E1,2.700000048E0
3.678596766E1,2.900000095E0
3.698596959E1,2.400000095E0
3.718597000E1,2.299999952E0
3.738594844E1,2.299999952E0
3.758609120E1,2.200000048E0
3.778596927E1,2.099999905E0
3.798596990E1,2.000000000E0
3.818596927E1,2.200000048E0
3.838594099E1,2.299999952E0
3.858608000E1,2.200000048E0
3.878596933E1,2.299999952E0
3.898596985E1,2.200000048E0
3.918596938E1,2.200000048E0
3.938596974E1,2.000000000E0
3.958597120E1,2.000000000E0
3.978609454E1,2.000000000E0
3.998596927E1,2.000000000E0
4.018596933E1,2.299999952E0
4.038596959E1,2.099999905E0
4.058596959E1,2.099999905E0
4.078607834E1,2.200000048E0
4.098596922E1,2.200000048E0
4.118596959E1,2.200000048E0
4.138596922E1,2.400000095E0
4.158594891E1,2.299999952E0
4.178609365E1,2.299999952E0
4.198596954E1,2.200000048E0
4.218596985E1,2.299999952E0
4.238597037E1,2.200000048E0
4.258597000E1,2.400000095E0
4.278596985E1,2.299999952E0
4.298596980E1,2.200000048E0
4.318596985E1,2.200000048E0
4.338596933E1,2.200000048E0
4.358597000E1,2.500000000E0
4.378596938E1,2.599999905E0
4.398609683E1,2.700000048E0
4.418596907E1,3.000000000E0
4.438597011E1,3.299999952E0
4.458596954E1,4.300000191E0
4.478595063E1,4.500000000E0
4.498608151E1,4.699999809E0
4.518596980E1,5.099999905E0
4.538596901E1,5.099999905E0
4.558597006E1,5.099999905E0
4.578596959E1,5.599999905E0
4.598610000E1,5.900000095E0
4.618597032E1,7.300000191E0
4.638596933E1,9.000000000E0
4.658597006E1,1.069999981E1
4.678597037E1,1.439999962E1
4.698597037E1,1.900000000E1
4.718608422E1,2.779999924E1
4.738596922E1,3.559999847E1
4.758596959E1,3.900000000E1
4.778596894E1,4.820000076E1
4.798597493E1,5.100000000E1
4.818609837E1,7.330000305E1
4.838596977E1,8.609999847E1
4.858596915E1,1.081999969E2
4.878596889E1,1.706999969E2
4.898594081E1,2.028999939E2
4.918608191E1,1.976999969E2
4.938596946E1,1.698999939E2
4.958596920E1,1.586000061E2
4.978596712E1,1.571000061E2
4.998596847E1,1.606000061E2
5.018596811E1,1.633999939E2
5.038596831E1,1.663000031E2
5.058596873E1,1.686000061E2
5.078596894E1,1.680000000E2
5.098596842E1,1.678000031E2
5.118597040E1,1.706999969E2
5.138608535E1,1.701000061E2
5.158596831E1,1.706999969E2
5.178596941E1,1.720000000E2
5.198596915E1,1.713999939E2
5.218594748E1,1.738999939E2
5.238607050E1,1.766999969E2
5.258596868E1,1.780000000E2
5.278596915E1,1.793000031E2
5.298596889E1,1.793999939E2
5.318596712E1,1.781000061E2
5.338597024E1,1.753999939E2
