"event","experiment time","system time","system time text"
"START",0.000000000E0,1622380112.654,"2021-05-30 21:08:32.654 UTC+08:00"
"PAUSE",3.000273083E2,1622380412.681,"2021-05-30 21:13:32.681 UTC+08:00"
