,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
2016-02-08 18:28:45.906222,1.9157536,3.28474736,8.93659401
2016-02-08 18:28:46.156222,1.8750757,3.29431868,8.95812988
2016-02-08 18:28:46.406222,1.84875464,3.30628276,8.92702293
2016-02-08 18:28:46.656222,1.80299187,3.34217501,8.91745186
2016-02-08 18:28:46.906222,1.77667081,3.34456778,8.93898678
2016-02-08 18:28:47.156222,1.73599279,3.36849618,8.94616604
2016-02-08 18:28:47.406222,1.70249331,3.38315201,8.91984463
2016-02-08 18:28:47.656222,1.68574357,3.40468741,8.88155937
2016-02-08 18:28:47.906222,1.64267278,3.42383003,8.90788078
2016-02-08 18:28:48.156222,1.58045936,3.39511633,8.88395214
2016-02-08 18:28:48.406222,1.51824594,3.41665173,8.84327412
2016-02-08 18:28:48.656222,1.47517514,3.43340135,8.84566689
2016-02-08 18:28:48.906222,1.42971158,3.46690083,8.8217392
2016-02-08 18:28:49.156222,1.36989093,3.48125792,8.83609581
2016-02-08 18:28:49.406222,1.29810631,3.493222,8.84327412
2016-02-08 18:28:49.656222,1.22602248,3.50279331,8.85763168
2016-02-08 18:28:49.906222,1.14945221,3.51236463,8.84327412
2016-02-08 18:28:50.156222,1.1183455,3.51954293,8.90309525
2016-02-08 18:28:50.406222,1.03698957,3.54107833,8.91266632
2016-02-08 18:28:50.656222,0.9484551,3.5673995,8.91505909
2016-02-08 18:28:50.906222,0.9101699,3.60089898,8.91266632
2016-02-08 18:28:51.156222,0.87906319,3.59611344,8.91266632
2016-02-08 18:28:51.406222,0.88384885,3.61764884,8.90788078
2016-02-08 18:28:51.656222,0.87427759,3.63439846,8.88873768
2016-02-08 18:28:51.906222,0.86231345,3.60807753,8.86720276
2016-02-08 18:28:52.156222,0.88145602,3.61525583,8.80738163
2016-02-08 18:28:52.406222,0.89581299,3.59132767,8.80738163
2016-02-08 18:28:52.656222,0.91495556,3.60329175,8.76191807
2016-02-08 18:28:52.906222,0.91974121,3.59132767,8.73081207
2016-02-08 18:28:53.156222,0.95802635,3.57936359,8.70209789
2016-02-08 18:28:53.406222,0.9843474,3.56979227,8.69252682
2016-02-08 18:28:53.656222,1.01066852,3.5889349,8.63509846
2016-02-08 18:28:53.906222,1.04656076,3.59611344,8.61356354
2016-02-08 18:28:54.156222,1.05852497,3.59611344,8.55852795
2016-02-08 18:28:54.406222,1.09202445,3.62004161,8.5465641
2016-02-08 18:28:54.656222,1.11595261,3.66071963,8.56331444
2016-02-08 18:28:54.906222,1.11355984,3.65114832,8.54895687
2016-02-08 18:28:55.156222,1.12073827,3.68225503,8.53699303
2016-02-08 18:28:55.406222,1.07766748,3.71096873,8.56809998
2016-02-08 18:28:55.656222,1.06809616,3.71575451,8.56092167
2016-02-08 18:28:55.906222,1.03459668,3.72532582,8.56092167
2016-02-08 18:28:56.156222,1.02023971,3.75164676,8.58724213
2016-02-08 18:28:56.406222,0.96281201,3.75164676,8.60399246
2016-02-08 18:28:56.656222,0.95084792,3.77557492,8.60399246
2016-02-08 18:28:56.906222,0.91495556,3.77318215,8.639884
2016-02-08 18:28:57.156222,0.88384885,3.7803607,8.65424156
2016-02-08 18:28:57.406222,0.89342016,3.77796793,8.68295479
2016-02-08 18:28:57.656222,0.83838522,3.77078939,8.73799038
2016-02-08 18:28:57.906222,0.82881397,3.76121807,8.79781056
2016-02-08 18:28:58.156222,0.81684983,3.76121807,8.84566689
2016-02-08 18:28:58.406222,0.79531443,3.77318215,8.92463017
2016-02-08 18:28:58.656222,0.79770726,3.75643253,8.99402237
2016-02-08 18:28:58.906222,0.80249292,3.74446845,9.07089138
2016-02-08 18:28:59.156222,0.77617186,3.73728991,9.12114048
2016-02-08 18:28:59.406222,0.78095752,3.68704057,9.17617607
2016-02-08 18:28:59.656222,0.76899338,3.66071963,9.25274563
2016-02-08 18:28:59.906222,0.75942206,3.63439846,9.28863812
2016-02-08 18:29:00.156222,0.74267232,3.5673995,9.3245306
2016-02-08 18:29:00.406222,0.75224364,3.52193594,9.39153004
2016-02-08 18:29:00.656222,0.74267232,3.48843622,9.42502976
2016-02-08 18:29:00.906222,0.7187441,3.44297266,9.49442101
2016-02-08 18:29:01.156222,0.72113693,3.40229464,9.52313519
2016-02-08 18:29:01.406222,0.71156561,3.3637104,9.57338429
2016-02-08 18:29:01.656222,0.69003022,3.35174632,9.6191473
2016-02-08 18:29:01.906222,0.65144599,3.34456778,9.6502533
2016-02-08 18:29:02.156222,0.67298138,3.34696078,9.67418194
2016-02-08 18:29:02.406222,0.69003022,3.32542539,9.68375301
2016-02-08 18:29:02.656222,0.71635127,3.34217501,9.69093132
2016-02-08 18:29:02.906222,0.71156561,3.34935355,9.73160934
2016-02-08 18:29:03.156222,0.73788667,3.35174632,9.75314522
2016-02-08 18:29:03.406222,0.75942206,3.34696078,9.76271629
2016-02-08 18:29:03.656222,0.76181489,3.35653186,9.80817986
2016-02-08 18:29:03.906222,0.72352976,3.33738947,9.85603619
2016-02-08 18:29:04.156222,0.73070824,3.33738947,9.90149975
2016-02-08 18:29:04.406222,0.70917279,3.33499646,9.93499947
2016-02-08 18:29:04.656222,0.70438719,3.33499646,9.96371365
