"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.245149238E1,2.869235939E1,1.158795312E2,2.290210827E1,1.842431641E1,0.000000000E0,0.000000000E0,2.949120465E-2,3.790092468E0,2.500000000E0,3.600000000E1
3.344600108E1,2.869235905E1,1.158795296E2,2.290266145E1,1.842486572E1,0.000000000E0,0.000000000E0,2.977351470E-2,3.790092468E0,2.500000000E0,3.600000000E1
3.444751988E1,2.869236073E1,1.158795274E2,2.261226741E1,1.813446045E1,0.000000000E0,0.000000000E0,3.011820177E-2,3.790092468E0,2.500000000E0,3.600000000E1
3.546200270E1,2.869236352E1,1.158795259E2,2.254794877E1,1.807012939E1,2.599999905E-1,1.380000019E1,3.060651363E-2,3.790092468E0,2.500000000E0,3.600000000E1
3.645257738E1,2.869236683E1,1.158795226E2,2.299486733E1,1.851702881E1,5.400000215E-1,3.502000122E2,3.143626315E-2,3.790092468E0,2.500000000E0,3.400000000E1
3.745929915E1,2.869237247E1,1.158795170E2,2.286452876E1,1.838665771E1,9.300000072E-1,3.322999878E2,3.279445051E-2,3.790092468E0,2.500000000E0,3.400000000E1
3.844994051E1,2.869238067E1,1.158795067E2,2.321474146E1,1.873681641E1,1.269999981E0,3.102000122E2,3.454274715E-2,3.790092468E0,2.500000000E0,3.400000000E1
3.944796743E1,2.869238903E1,1.158794915E2,2.295052837E1,1.847253418E1,1.340000033E0,2.891000061E2,3.596943358E-2,3.790092468E0,2.500000000E0,3.400000000E1
4.044876087E1,2.869239196E1,1.158794773E2,2.188978856E1,1.741174316E1,1.120000005E0,2.695000000E2,3.677199232E-2,3.790092468E0,2.500000000E0,3.400000000E1
4.144985176E1,2.869239361E1,1.158794693E2,2.189091599E1,1.741284180E1,0.000000000E0,0.000000000E0,3.705960557E-2,3.790092468E0,2.500000000E0,3.400000000E1
4.245268613E1,2.869239103E1,1.158794695E2,2.170676512E1,1.722869873E1,0.000000000E0,0.000000000E0,3.731840836E-2,3.790092468E0,2.500000000E0,3.500000000E1
4.345037045E1,2.869238918E1,1.158794711E2,2.151583714E1,1.703778076E1,2.700000107E-1,1.536000061E2,3.759612087E-2,3.790092468E0,2.500000000E0,3.500000000E1
4.445444686E1,2.869238777E1,1.158794734E2,2.154237640E1,1.706433105E1,2.700000107E-1,1.453000031E2,3.830061546E-2,3.790092468E0,2.500000000E0,3.500000000E1
4.545347931E1,2.869238727E1,1.158794662E2,2.146616387E1,1.698809814E1,0.000000000E0,0.000000000E0,3.870032594E-2,3.790092468E0,2.500000000E0,3.500000000E1
4.645369144E1,2.869238369E1,1.158794666E2,2.171059859E1,1.723254395E1,3.899999857E-1,1.403999939E2,3.961106500E-2,3.790092468E0,2.500000000E0,3.500000000E1
4.744965780E1,2.869238048E1,1.158794580E2,2.239231729E1,1.791424561E1,1.379999995E0,2.510000000E2,4.119989134E-2,3.790092468E0,2.500000000E0,3.500000000E1
4.844976842E1,2.869237418E1,1.158794434E2,2.251667258E1,1.803857422E1,1.850000024E0,2.350000000E2,4.284689556E-2,3.790092468E0,2.500000000E0,3.500000000E1
4.945486279E1,2.869236308E1,1.158794322E2,2.234504465E1,1.786694336E1,1.750000000E0,2.213000031E2,4.501584990E-2,3.790092468E0,2.500000000E0,3.500000000E1
5.045099852E1,2.869234638E1,1.158794207E2,2.210919309E1,1.763110352E1,2.390000105E0,2.081999969E2,4.851193667E-2,3.790092468E0,2.500000000E0,3.500000000E1
5.144869295E1,2.869231733E1,1.158794070E2,2.217317962E1,1.769512939E1,3.440000057E0,2.045000000E2,5.285474439E-2,3.790092468E0,2.500000000E0,3.500000000E1
