"event","experiment time","system time","system time text"
"START",0.000000000E0,1622381688.406,"2021-05-30 21:34:48.406 UTC+08:00"
"PAUSE",3.000207914E2,1622381988.427,"2021-05-30 21:39:48.427 UTC+08:00"
