"event","experiment time","system time","system time text"
"START",0.000000000E0,1622622035.037,"2021-06-02 16:20:35.037 UTC+08:00"
"PAUSE",3.000643262E2,1622622335.101,"2021-06-02 16:25:35.101 UTC+08:00"
