,,Time (s),Illuminance (lx)
_bike,0,0.0,0.0
_dance,0,0.0,0.0
_dance,1,106.85094779999999,0.0
_dance,2,107.0168725,4.0
_dance,3,107.4040277,2.0
_dance,4,107.4593376,2.0
_dance,5,107.514647,3.0
_dance,6,107.56995359999999,4.0
_dance,7,107.73587679999999,5.0
_dance,8,107.79118390000002,6.0
_dance,9,107.8464905,15.0
_dance,10,107.9017962,22.0
_dance,11,107.9571014,29.0
_dance,12,108.0460793,36.0
_dance,13,108.5438308,43.0
_dance,14,108.6043301,40.0
_dance,15,108.6596321,36.0
_dance,16,108.77023500000001,33.0
_dance,17,108.8808358,40.0
_dance,18,109.10203500000001,37.0
_dance,19,109.16252859999999,32.0
_dance,20,110.10264029999999,34.0
_dance,21,110.60555520000001,32.0
_dance,22,111.6009993,27.0
_dance,23,111.65630459999998,16.0
_dance,24,111.7116087,1.0
_dance,25,111.7669144,0.0
_dance,26,111.82221750000001,0.0
_dance,27,112.4305922,0.0
_dance,28,112.5412068,0.0
_dance,29,258.6041978,0.0
_dance,30,259.3231437,0.0
_dance,31,259.4890554,0.0
_dance,32,259.5443571,8.0
_dance,33,259.5996565,18.0
_dance,34,259.6549577,28.0
_dance,35,259.7102596,33.0
_dance,36,260.2079772,30.0
_dance,37,260.3738713,27.0
_dance,38,260.4844672,25.0
_dance,39,261.0927919,28.0
_dance,40,261.1480944,36.0
_dance,41,261.3693098,33.0
_dance,42,261.86702599999995,31.0
_dance,43,262.5306562,28.0
_dance,44,262.5859555,25.0
_dance,45,262.64125559999997,21.0
_dance,46,262.696556,16.0
_dance,47,262.75185899999997,2.0
_dance,48,262.8071644,0.0
_desk,0,0.0,27.0
_run,0,0.0,0.0
_run,1,276.63100160000005,0.0
_run,2,276.6863023,0.0
_run,3,276.74160639999997,1.0
_run,4,276.7969085,1.0
_run,5,276.9075148,2.0
_run,6,277.01812110000003,3.0
_run,7,277.1840344,34.0
_run,8,277.23933660000006,58.0
_run,9,277.2946418,65.0
_run,10,277.3499458,71.0
_run,11,277.40524710000005,660.0
_run,12,277.63684839999996,7219.0
_run,13,277.69734710000006,8062.0
_run,14,277.8632523,6749.0
_run,15,277.918556,6085.0
_run,16,277.973859,5532.0
_run,17,278.19507680000004,4812.0
_run,18,278.36098339999995,4474.0
_run,19,278.52689289999995,5136.0
_run,20,278.74810510000003,5772.0
_run,21,278.85870570000003,4988.0
_run,22,278.91400889999994,4071.0
_run,23,278.9693121,3376.0
_run,24,279.024613,2411.0
_run,25,279.07991380000004,683.0
_run,26,279.24581960000006,57.0
_run,27,279.4169223,0.0
_run,28,279.7539393,0.0
_run,29,279.8092436,10.0
_run,30,279.86455060000003,30.0
_run,31,279.9751607,24.0
_run,32,280.0304663,20.0
_run,33,280.0857725,15.0
_run,34,280.1410772,5.0
_run,35,280.196383,3.0
_run,36,280.30699639999995,0.0
_run,37,280.3623013,0.0
_run,38,280.4176082,1.0
_run,39,280.4729145,5.0
_run,40,280.52822210000005,3.0
_run,41,280.5835253,2.0
_run,42,280.63883030000005,4.0
_run,43,280.69413310000004,5.0
_run,44,280.7494353,4.0
_run,45,280.8047392,1.0
_run,46,280.86004269999995,0.0
_run,47,280.9153439,0.0
_sit,0,0.0,0.0
_walk_i,0,0.0,0.0
_walk_i,1,148.8129245,0.0
_walk_i,2,148.8682178,0.0
_walk_i,3,148.92351430000002,1.0
_walk_i,4,149.1446881,6.0
_walk_i,5,149.1999825,10.0
_walk_i,6,149.2912038,13.0
_walk_i,7,149.3526549,16.0
_walk_i,8,149.9608718,19.0
_walk_i,9,150.24311719999997,19.0
_walk_i,10,150.5195884,20.0
_walk_i,11,151.45956930000003,21.0
_walk_i,12,151.5204564,13.0
_walk_i,13,151.6310454,3.0
_walk_i,14,151.694802,1.0
_walk_i,15,151.8053862,0.0
_walk_i,16,152.4188139,0.0
_walk_i,17,152.6399835,0.0
_walk_i,18,263.83993080000005,0.0
_walk_i,19,263.89522519999997,5.0
_walk_i,20,264.00581370000003,5.0
_walk_i,21,264.0611053,3.0
_walk_i,22,264.11639909999997,3.0
_walk_i,23,264.2269901,3.0
_walk_i,24,264.33758489999997,2.0
_walk_i,25,264.5587677,1.0
_walk_i,26,264.6693633,6.0
_walk_i,27,264.7246617,9.0
_walk_i,28,264.77995930000003,12.0
_walk_i,29,265.4435138,16.0
_walk_i,30,265.7251923,16.0
_walk_i,31,266.0016811,17.0
_walk_i,32,267.1076293,21.0
_walk_i,33,267.16292480000004,17.0
_walk_i,34,267.21822230000004,15.0
_walk_i,35,267.27351830000003,11.0
_walk_i,36,267.3288156,8.0
_walk_i,37,267.494709,8.0
_walk_i,38,267.55000409999997,11.0
_walk_i,39,267.6052995,14.0
_walk_i,40,267.9923766,0.0
_walk_i,41,268.053418,0.0
_walk_i,42,268.1087141,1.0
_walk_i,43,268.1640087,1.0
_walk_i,44,268.2193046,0.0
_walk_i,45,268.2745995,0.0
_walk_i,46,268.440492,0.0
_walk_i,47,268.71697989999996,0.0
_walk_i,48,271.4636583,0.0
_walk_o,0,0.0,0.0
