"event","experiment time","system time","system time text"
"START",0.000000000E0,1622885790.124,"2021-06-05 11:36:30.124 UTC+02:00"
"PAUSE",3.000779444E2,1622886090.202,"2021-06-05 11:41:30.202 UTC+02:00"
