"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.602037710E-1,-9.796631813E0,-2.198887634E1,2.556307220E1
9.702037710E-1,-9.490745544E0,-2.080261993E1,2.571171570E1
9.802037710E-1,-9.182414055E0,-2.153035736E1,2.603733063E1
9.902037710E-1,-1.026174736E1,-2.035585022E1,2.677070618E1
1.000203771E0,-8.720154762E0,-2.182281494E1,2.574269104E1
1.010203771E0,-7.031620026E0,-1.986692047E1,2.669063568E1
1.020203771E0,-6.571613312E0,-1.926100922E1,2.731411743E1
1.030203771E0,-8.569578171E0,-2.018507385E1,2.665605927E1
1.040203771E0,-9.489738464E0,-2.153966522E1,2.572027588E1
1.050203771E0,-7.185291290E0,-2.073979950E1,2.762549591E1
1.060203771E0,-7.494812965E0,-2.014093781E1,2.853945160E1
1.070203771E0,-9.030949593E0,-2.091754150E1,2.742688751E1
1.080203771E0,-9.031415939E0,-2.120078278E1,2.820397949E1
1.090203771E0,-8.568049431E0,-2.092906952E1,2.620041656E1
1.100203771E0,-8.415110588E0,-2.077005768E1,2.682143402E1
1.110203771E0,-9.187834740E0,-1.856365204E1,2.724096680E1
1.120203771E0,-1.010955906E1,-1.989739990E1,2.769776917E1
1.130203771E0,-7.952988625E0,-2.033705139E1,2.574456787E1
1.140203771E0,-9.953591347E0,-2.108128357E1,2.725106812E1
1.150203771E0,-7.800745964E0,-2.016876984E1,2.698451996E1
1.160203771E0,-9.491019249E0,-2.210150909E1,2.758391571E1
1.170203771E0,-7.801753044E0,-1.943172455E1,2.697595978E1
1.180203771E0,-1.010652828E1,-2.124028778E1,2.663005066E1
1.190203771E0,-9.339298248E0,-1.917647552E1,2.585141754E1
1.200203771E0,-8.569458961E0,-1.989721680E1,2.618843079E1
1.210203771E0,-9.032359123E0,-1.988568878E1,2.741490936E1
1.220203771E0,-8.721564293E0,-2.079094696E1,2.573071289E1
1.230203771E0,-7.952732086E0,-2.077463531E1,2.605916595E1
1.240203771E0,-7.952732086E0,-2.077463531E1,2.605916595E1
1.250203771E0,-7.800800323E0,-1.987859344E1,2.667163849E1
1.260203771E0,-7.800800323E0,-1.987859344E1,2.667163849E1
1.270203771E0,-7.802274704E0,-1.942477417E1,2.744016266E1
1.280203771E0,-6.724689484E0,-1.869454956E1,2.591086578E1
1.290203771E0,-8.723524094E0,-1.960704041E1,2.602647400E1
1.300203771E0,-6.724012375E0,-2.044029999E1,2.747874451E1
1.310203771E0,-8.416373253E0,-1.959542847E1,2.649827576E1
1.320203771E0,-8.724915504E0,-1.958851624E1,2.726434326E1
1.330203771E0,-9.186113358E0,-2.032329559E1,2.788043976E1
1.340203771E0,-8.263800621E0,-1.841845703E1,2.617890930E1
1.350203771E0,-7.956137657E0,-1.928202057E1,2.727992249E1
1.360203771E0,-7.798777580E0,-2.048443604E1,2.559534454E1
1.370203771E0,-7.644712448E0,-2.077460480E1,2.575730896E1
1.380203771E0,-7.185080528E0,-2.001897430E1,2.653381348E1
1.390203771E0,-8.568305969E0,-2.049147797E1,2.588581848E1
1.400203771E0,-8.719770432E0,-2.110429382E1,2.449626160E1
1.410203771E0,-7.953199387E0,-2.105787659E1,2.683625793E1
1.420203771E0,-7.952466965E0,-2.034399414E1,2.528036499E1
1.430203771E0,-7.952869415E0,-2.004917145E1,2.527693939E1
1.440203771E0,-7.184421539E0,-2.075138092E1,2.685182953E1
1.450203771E0,-6.568592072E0,-2.147214508E1,2.733979797E1
1.460203771E0,-9.953333855E0,-2.151886749E1,2.756566620E1
1.470203771E0,-7.799253464E0,-2.163591003E1,2.746584320E1
1.480203771E0,-9.798253059E0,-2.167784119E1,2.664278412E1
1.490203771E0,-8.415366173E0,-2.033247375E1,2.650683594E1
1.500203771E0,-9.032496452E0,-1.916022491E1,2.663268280E1
1.510203771E0,-9.491697311E0,-2.035575867E1,2.601603699E1
1.520203771E0,-9.799608231E0,-2.093616486E1,2.694368744E1
1.530203771E0,-8.417591095E0,-1.957920837E1,2.758140564E1
1.540203771E0,-8.568919182E0,-2.091748810E1,2.697408295E1
1.550203771E0,-7.957703590E0,-1.926116943E1,2.867251587E1
1.560203771E0,-8.415632248E0,-2.076311493E1,2.728564453E1
1.570203771E0,-6.723947525E0,-1.986225128E1,2.669823456E1
1.580203771E0,-9.495450974E0,-1.885850525E1,2.754624939E1
1.590203771E0,-9.797712326E0,-2.269812775E1,2.742843628E1
1.600203771E0,-8.260285378E0,-2.049143982E1,2.558394623E1
1.610203771E0,-7.493613243E0,-1.914382935E1,2.620646667E1
1.620203771E0,-9.490222931E0,-2.080956268E1,2.524750519E1
1.630203771E0,-9.183678627E0,-2.035572815E1,2.571417236E1
1.640203771E0,-1.072230434E1,-2.080971527E1,2.645498657E1
1.650203771E0,-7.802083015E0,-2.044042969E1,2.853527832E1
1.660203771E0,-9.029210091E0,-2.094070435E1,2.587955475E1
1.670203771E0,-7.797862053E0,-2.165444183E1,2.622797394E1
1.680203771E0,-7.640501022E0,-2.285686493E1,2.454340363E1
1.690203771E0,-8.262445450E0,-1.916013336E1,2.587801361E1
1.700203771E0,-7.798118591E0,-2.121685028E1,2.591337585E1
1.710203771E0,-7.032572746E0,-1.942005157E1,2.699495697E1
1.720203771E0,-7.800883293E0,-1.944330597E1,2.620229340E1
1.730203771E0,-1.010741711E1,-2.021537018E1,2.615386200E1
1.740203771E0,-8.261786461E0,-1.989254761E1,2.619602966E1
1.750203771E0,-8.568168640E0,-2.121694183E1,2.666804504E1
1.760203771E0,-7.952851295E0,-2.106251526E1,2.652679443E1
1.770203771E0,-9.341385841E0,-1.914868164E1,2.770820618E1
1.780203771E0,-9.953728676E0,-2.035581970E1,2.646884155E1
1.790203771E0,-8.722296715E0,-2.150482941E1,2.728660583E1
1.800203771E0,-7.491801262E0,-2.047050476E1,2.622187805E1
1.810203771E0,-8.722782135E0,-2.077472687E1,2.681383514E1
1.820203771E0,-8.264130592E0,-1.942714691E1,2.773822784E1
1.830203771E0,-7.644171715E0,-2.179489136E1,2.654295349E1
1.840203771E0,-7.642899513E0,-2.210129547E1,2.577271271E1
1.850203771E0,-8.721912384E0,-2.078630829E1,2.604016876E1
1.860203771E0,-9.338355064E0,-2.049156952E1,2.664048767E1
1.870203771E0,-8.721912384E0,-2.078630829E1,2.604016876E1
1.880203771E0,-6.569471359E0,-1.957899475E1,2.577020264E1
1.890203771E0,-7.645453453E0,-1.960691833E1,2.496994019E1
1.900203771E0,-6.875998497E0,-2.104617310E1,2.655339050E1
1.910203771E0,-9.184163094E0,-1.962562561E1,2.524140930E1
1.920203771E0,-7.802887917E0,-1.985079956E1,2.852842712E1
1.930203771E0,-8.413974762E0,-2.035099792E1,2.526896667E1
1.940203771E0,-7.801753044E0,-1.943172455E1,2.697595978E1
1.950203771E0,-8.260761261E0,-2.164291382E1,2.745444489E1
1.960203771E0,-7.186554909E0,-1.956517029E1,2.730233765E1
1.970203771E0,-1.010753536E1,-2.050324249E1,2.662149048E1
1.980203771E0,-7.955735207E0,-1.957684326E1,2.728334045E1
1.990203771E0,-9.184025764E0,-2.035108948E1,2.602363586E1
2.000203771E0,-8.262912750E0,-1.944335938E1,2.665509796E1
2.010203771E0,-8.726617813E0,-1.884220123E1,2.787471771E1
2.020203771E0,-7.028937340E0,-2.120517731E1,2.593237305E1
2.030203771E0,-7.492258072E0,-1.988550568E1,2.590557098E1
2.040203771E0,-8.568919182E0,-2.091748810E1,2.697408295E1
2.050203771E0,-9.029749870E0,-1.992043304E1,2.509391022E1
2.060203771E0,-7.491909981E0,-1.989013672E1,2.559609985E1
2.070203771E0,-7.184156418E0,-2.032073975E1,2.607302856E1
2.080203771E0,-7.953199387E0,-2.105787659E1,2.683625793E1
2.090203771E0,-8.413233757E0,-2.151868439E1,2.605632782E1
2.100203771E0,-7.799125671E0,-2.047980499E1,2.590481567E1
2.110203771E0,-7.798594475E0,-2.236832428E1,2.778386688E1
2.120203771E0,-8.568168640E0,-2.121694183E1,2.666804504E1
2.130203771E0,-8.568168640E0,-2.121694183E1,2.666804504E1
2.140203771E0,-8.568781853E0,-2.164295197E1,2.775630951E1
2.150203771E0,-8.568781853E0,-2.164295197E1,2.775630951E1
2.160203771E0,-9.029558182E0,-2.093607330E1,2.618901825E1
2.170203771E0,-7.647403717E0,-2.030458069E1,2.760896301E1
2.180203771E0,-6.878149986E0,-1.884661865E1,2.575404358E1
2.190203771E0,-7.493192673E0,-2.045197296E1,2.745974731E1
2.200203771E0,-6.723005295E0,-2.117734528E1,2.748730469E1
2.210203771E0,-8.262391090E0,-1.945030975E1,2.619089508E1
2.220203771E0,-7.956815720E0,-2.028608704E1,2.914869690E1
2.230203771E0,-8.263315201E0,-1.914855194E1,2.665167999E1
2.240203771E0,-8.414167404E0,-2.208516693E1,2.761051178E1
2.250203771E0,-8.720154762E0,-2.182281494E1,2.574269104E1
2.260203771E0,-7.646533966E0,-2.031616211E1,2.683529663E1
2.270203771E0,-7.185080528E0,-2.001897430E1,2.653381348E1
2.280203771E0,-7.032087326E0,-2.015014648E1,2.746772003E1
2.290203771E0,-6.874525070E0,-2.149997711E1,2.578486633E1
2.300203771E0,-7.028937340E0,-2.120517731E1,2.593237305E1
2.310203771E0,-6.875476837E0,-2.105311584E1,2.608918762E1
2.320203771E0,-9.952721596E0,-2.109286499E1,2.647740173E1
2.330203771E0,-9.801017761E0,-1.990431213E1,2.693170166E1
2.340203771E0,-7.952246666E0,-2.150473785E1,2.653193665E1
2.350203771E0,-8.414378166E0,-2.005617523E1,2.526554108E1
2.360203771E0,-8.569578171E0,-2.018507385E1,2.665605927E1
2.370203771E0,-7.800608635E0,-2.089423370E1,2.776674652E1
2.380203771E0,-8.260687828E0,-2.019661713E1,2.558052826E1
2.390203771E0,-9.185418129E0,-2.033256531E1,2.726150513E1
2.400203771E0,-9.492357254E0,-1.962335205E1,2.569801331E1
2.410203771E0,-8.722434044E0,-2.077936554E1,2.650437927E1
2.420203771E0,-7.801148415E0,-1.987396240E1,2.698109436E1
2.430203771E0,-8.417646408E0,-1.928902435E1,2.726852417E1
2.440203771E0,-9.953068733E0,-2.108822632E1,2.678686523E1
2.450203771E0,-7.952594757E0,-2.150009918E1,2.684139252E1
2.460203771E0,-8.722434044E0,-2.077936554E1,2.650437927E1
2.470203771E0,-8.413233757E0,-2.151868439E1,2.605632782E1
2.480203771E0,-9.183888435E0,-2.107655334E1,2.680586243E1
2.490203771E0,-7.954343796E0,-1.959536743E1,2.604547119E1
2.500203771E0,-8.260028839E0,-2.092903137E1,2.589855194E1
2.510203771E0,-8.721564293E0,-2.079094696E1,2.573071289E1
2.520203771E0,-8.568049431E0,-2.092906952E1,2.620041656E1
2.530203771E0,-6.878086090E0,-2.101837158E1,2.841018677E1
2.540203771E0,-8.721775055E0,-2.151177216E1,2.682239532E1
2.550203771E0,-7.953253746E0,-2.076769257E1,2.652337646E1
2.560203771E0,-8.569458961E0,-1.989721680E1,2.618843079E1
2.570203771E0,-8.415632248E0,-2.076311493E1,2.728564453E1
2.580203771E0,-9.336551666E0,-2.268649292E1,2.774929810E1
2.590203771E0,-7.493595123E0,-2.015715027E1,2.745632172E1
2.600203771E0,-8.725317955E0,-1.929369354E1,2.726092529E1
2.610203771E0,-9.185297966E0,-2.004468536E1,2.679387665E1
2.620203771E0,-7.184888840E0,-2.103462219E1,2.762892151E1
2.630203771E0,-8.569788933E0,-2.090590668E1,2.774774933E1
2.640203771E0,-8.419001579E0,-1.854734039E1,2.756941986E1
2.650203771E0,-9.492567062E0,-2.034417725E1,2.678970337E1
2.660203771E0,-7.489841461E0,-2.165440369E1,2.592610931E1
2.670203771E0,-9.336688995E0,-2.196102905E1,2.696707153E1
2.680203771E0,-8.570796013E0,-2.016886139E1,2.773918915E1
2.690203771E0,-8.721161842E0,-2.108576965E1,2.573413086E1
2.700203771E0,-8.721775055E0,-2.151177216E1,2.682239532E1
2.710203771E0,-9.799260139E0,-2.094079590E1,2.663422394E1
2.720203771E0,-8.569523811E0,-2.047526550E1,2.696894836E1
2.730203771E0,-8.264130592E0,-1.942714691E1,2.773822784E1
2.740203771E0,-8.414378166E0,-2.005617523E1,2.526554108E1
2.750203771E0,-8.718359947E0,-2.213616180E1,2.450824738E1
2.760203771E0,-7.644794464E0,-2.033932495E1,2.528796387E1
2.770203771E0,-9.182130814E0,-2.211306000E1,2.650838470E1
2.780203771E0,-6.875476837E0,-2.105311584E1,2.608918762E1
2.790203771E0,-7.950507164E0,-2.152790070E1,2.498460388E1
2.800203771E0,-8.570915222E0,-2.045673370E1,2.820681763E1
2.810203771E0,-1.011008072E1,-1.989044952E1,2.816197968E1
2.820203771E0,-8.725263596E0,-1.958387756E1,2.757380676E1
2.830203771E0,-9.185418129E0,-2.033256531E1,2.726150513E1
2.840203771E0,-8.419211388E0,-1.926817322E1,2.866111755E1
2.850203771E0,-9.494234085E0,-1.887472534E1,2.646311951E1
2.860203771E0,-8.265000343E0,-1.941556549E1,2.851189423E1
2.870203771E0,-8.417334557E0,-2.001679993E1,2.789601135E1
2.880203771E0,-7.494867325E0,-1.985076141E1,2.822657013E1
2.890203771E0,-9.031435013E0,-2.018744659E1,2.695412445E1
2.900203771E0,-7.186033249E0,-1.957211304E1,2.683813477E1
2.910203771E0,-7.493192673E0,-2.045197296E1,2.745974731E1
2.920203771E0,-7.801753044E0,-1.943172455E1,2.697595978E1
2.930203771E0,-8.568049431E0,-2.092906952E1,2.620041656E1
2.940203771E0,-7.182682037E0,-2.077454376E1,2.530449677E1
2.950203771E0,-9.490608215E0,-2.152808380E1,2.649394226E1
2.960203771E0,-7.800745964E0,-2.016876984E1,2.698451996E1
2.970203771E0,-7.184019089E0,-2.104620361E1,2.685525513E1
2.980203771E0,-9.490608215E0,-2.152808380E1,2.649394226E1
2.990203771E0,-7.801213264E0,-2.045201111E1,2.776161194E1
3.000203771E0,-7.801213264E0,-2.045201111E1,2.776161194E1
3.010203771E0,-8.722434044E0,-2.077936554E1,2.650437927E1
3.020203771E0,-8.722434044E0,-2.077936554E1,2.650437927E1
3.030203771E0,-6.261515617E0,-2.015700531E1,2.624884796E1
3.040203771E0,-8.724869728E0,-2.074693298E1,2.867063904E1
3.050203771E0,-9.032844543E0,-1.915559387E1,2.694213867E1
3.060203771E0,-9.339509010E0,-1.989730835E1,2.694309998E1
3.070203771E0,-7.491315842E0,-2.120059967E1,2.669464111E1
3.080203771E0,-8.570987701E0,-1.915322113E1,2.664408112E1
3.090203771E0,-7.033094406E0,-1.941310120E1,2.745915985E1
3.100203771E0,-7.956430435E0,-1.956757355E1,2.790227509E1
3.110203771E0,-7.645197868E0,-2.004450226E1,2.528453827E1
3.120203771E0,-8.721024513E0,-2.181123352E1,2.651635742E1
3.130203771E0,-9.030161858E0,-2.049385071E1,2.618388367E1
3.140203771E0,-7.031757355E0,-1.914145660E1,2.590840912E1
3.150203771E0,-7.642899513E0,-2.210129547E1,2.577271271E1
3.160203771E0,-5.798157692E0,-2.075353241E1,2.533869171E1
3.170203771E0,-7.799876213E0,-2.018035126E1,2.621085358E1
3.180203771E0,-7.952851295E0,-2.106251526E1,2.652679443E1
3.190203771E0,-8.724531174E0,-1.886999512E1,2.601791382E1
3.200203771E0,-7.953858376E0,-2.032546997E1,2.651823425E1
3.210203771E0,-1.010544777E1,-2.053103638E1,2.476468658E1
3.220203771E0,-8.415769577E0,-2.003765106E1,2.650341797E1
3.230203771E0,-7.953739166E0,-2.003759003E1,2.605060577E1
3.240203771E0,-7.184540749E0,-2.103926086E1,2.731945801E1
3.250203771E0,-8.415366173E0,-2.033247375E1,2.650683594E1
3.260203771E0,-8.723789215E0,-2.003768158E1,2.680527496E1
3.270203771E0,-8.723249435E0,-2.105796814E1,2.759092712E1
3.280203771E0,-8.724603653E0,-2.031629181E1,2.789183807E1
3.290203771E0,-8.416987419E0,-2.002143097E1,2.758654022E1
3.300203771E0,-7.185153961E0,-2.146526337E1,2.840772247E1
3.310203771E0,-7.954938889E0,-2.103471375E1,2.838359070E1
3.320203771E0,-8.414221764E0,-2.179498291E1,2.729762268E1
3.330203771E0,-1.026087761E1,-2.036743164E1,2.599703979E1
3.340203771E0,-6.877271652E0,-2.073976898E1,2.732363892E1
3.350203771E0,-8.570722580E0,-1.872256470E1,2.586527252E1
3.360203771E0,-8.416721344E0,-1.959078979E1,2.680773926E1
3.370203771E0,-8.260239601E0,-2.164986420E1,2.699024200E1
3.380203771E0,-7.491453171E0,-2.047513580E1,2.591241455E1
3.390203771E0,-8.414240837E0,-2.078163910E1,2.604776764E1
3.400203771E0,-7.797862053E0,-2.165444183E1,2.622797394E1
3.410203771E0,-8.720035553E0,-2.153493500E1,2.527506256E1
3.420203771E0,-9.029210091E0,-2.094070435E1,2.587955475E1
3.430203771E0,-8.261365891E0,-2.120069122E1,2.744931030E1
3.440203771E0,-8.570850372E0,-1.987868500E1,2.742630768E1
3.450203771E0,-8.418204308E0,-2.000521851E1,2.866967773E1
3.460203771E0,-7.951376915E0,-2.151631927E1,2.575827026E1
3.470203771E0,-9.031031609E0,-2.048226929E1,2.695755005E1
3.480203771E0,-8.416987419E0,-2.002143097E1,2.758654022E1
3.490203771E0,-7.954819679E0,-2.074684143E1,2.791596985E1
3.500203771E0,-8.570933342E0,-1.944339752E1,2.695696259E1
3.510203771E0,-9.342127800E0,-1.798097992E1,2.692084503E1
3.520203771E0,-7.953858376E0,-2.032546997E1,2.651823425E1
3.530203771E0,-9.800267220E0,-2.020375061E1,2.662566376E1
3.540203771E0,-8.723651886E0,-2.076314545E1,2.758750153E1
3.550203771E0,-9.799608231E0,-2.093616486E1,2.694368744E1
3.560203771E0,-8.261713982E0,-2.119606018E1,2.775877380E1
3.570203771E0,-7.799253464E0,-2.163591003E1,2.746584320E1
3.580203771E0,-7.492588043E0,-2.089419556E1,2.746488190E1
3.590203771E0,-7.644657135E0,-2.106478882E1,2.607019043E1
3.600203771E0,-9.337092400E0,-2.166620636E1,2.696364594E1
3.610203771E0,-6.261167526E0,-2.016163635E1,2.593938446E1
3.620203771E0,-7.799738884E0,-2.090581512E1,2.699308014E1
3.630203771E0,-7.182938576E0,-2.033695984E1,2.498989868E1
3.640203771E0,-1.010814953E1,-2.092925262E1,2.770975494E1
3.650203771E0,-7.955341339E0,-2.073989105E1,2.838016510E1
3.660203771E0,-7.799858093E0,-2.119368744E1,2.746070862E1
3.670203771E0,-8.567509651E0,-2.194935608E1,2.698606873E1
3.680203771E0,-8.416373253E0,-1.959542847E1,2.649827576E1
3.690203771E0,-8.262721062E0,-2.045901489E1,2.775021362E1
3.700203771E0,-8.572672844E0,-1.942023468E1,2.850429535E1
3.710203771E0,-9.799122810E0,-2.166625977E1,2.741645050E1
3.720203771E0,-1.010565853E1,-2.125186920E1,2.585638428E1
3.730203771E0,-9.492694855E0,-2.150028229E1,2.835073090E1
3.740203771E0,-9.339106560E0,-2.019211578E1,2.694652557E1
3.750203771E0,-7.492862701E0,-1.944326782E1,2.590042877E1
3.760203771E0,-8.566831589E0,-2.094528198E1,2.511728668E1
3.770203771E0,-7.185080528E0,-2.001897430E1,2.653381348E1
3.780203771E0,-7.952851295E0,-2.106251526E1,2.652679443E1
3.790203771E0,-7.952988625E0,-2.033705139E1,2.574456787E1
3.800203771E0,-7.491105080E0,-2.047976685E1,2.560294342E1
3.810203771E0,-8.261365891E0,-2.120069122E1,2.744931030E1
3.820203771E0,-8.569980621E0,-1.989026642E1,2.665264130E1
3.830203771E0,-8.726014137E0,-1.928442383E1,2.787985229E1
3.840203771E0,-8.414844513E0,-2.033941650E1,2.604263306E1
3.850203771E0,-8.568049431E0,-2.092906952E1,2.620041656E1
