"event","experiment time","system time","system time text"
"START",0.000000000E0,1622882186.791,"2021-06-05 10:36:26.791 UTC+02:00"
"PAUSE",3.000910345E2,1622882486.882,"2021-06-05 10:41:26.882 UTC+02:00"
