"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.685492442E2,5.233399568E1,4.867224380E0,2.260993587E1,0.000000000E0,0.000000000E0,1.758079987E2,9.600000000E1
2.695492441E2,5.233399688E1,4.867249210E0,2.286141661E1,0.000000000E0,0.000000000E0,1.704479980E2,6.400000000E1
2.705492441E2,5.233399675E1,4.867279690E0,2.331083572E1,0.000000000E0,0.000000000E0,1.683040009E2,6.400000000E1
2.715492436E2,5.233400324E1,4.867301210E0,2.248920189E1,0.000000000E0,0.000000000E0,1.790240021E2,6.400000000E1
2.725492437E2,5.233400945E1,4.867321260E0,2.248989348E1,0.000000000E0,0.000000000E0,2.144000092E2,9.600000000E1
2.735492442E2,5.233401507E1,4.867376410E0,2.519696420E1,0.000000000E0,0.000000000E0,2.476320038E2,9.600000000E1
2.935492443E2,5.233375606E1,4.867861940E0,4.452597911E1,0.000000000E0,0.000000000E0,2.240480042E2,9.600000000E1
2.945492436E2,5.233391114E1,4.867546940E0,5.603151026E1,1.509999990E0,5.700000000E1,2.047519989E2,9.600000000E1
2.955492442E2,5.233403890E1,4.867210330E0,4.959051842E1,2.000000000E0,6.740000153E1,1.736640015E2,9.600000000E1
2.965492440E2,5.233404580E1,4.867237640E0,4.957052423E1,0.000000000E0,0.000000000E0,1.693760071E2,9.600000000E1
2.975492437E2,5.233404836E1,4.867284690E0,5.028533746E1,0.000000000E0,0.000000000E0,1.683040009E2,9.600000000E1
