"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.337637580E-1,3.664230824E0,2.143571615E0,-1.609142900E0
4.387654760E-1,3.243451595E0,2.090308428E0,-1.505279660E0
4.438914140E-1,2.415209293E0,1.888973594E0,-1.349218607E0
4.488820390E-1,1.399480820E0,1.503880858E0,-1.123915434E0
4.540024040E-1,6.543290019E-1,1.057002783E0,-8.245763779E-1
4.590077160E-1,2.750951350E-1,8.631247878E-1,-5.215088725E-1
4.640763620E-1,1.250769105E-2,9.856300354E-1,-2.679761946E-1
4.691161010E-1,-4.109345675E-1,1.202411294E0,-7.036980242E-2
4.741717790E-1,-1.095366359E0,1.398419738E0,6.861795206E-3
4.792377160E-1,-1.885791898E0,1.487369299E0,-3.468348086E-2
4.842909450E-1,-2.635737419E0,1.404278636E0,-1.284266710E-1
4.893501120E-1,-3.346801043E0,1.184834480E0,-1.923424900E-1
4.944670390E-1,-3.928434849E0,1.067655325E0,-1.880814284E-1
4.994736540E-1,-3.846409559E0,1.819731474E0,-4.323471803E-3
5.045533930E-1,-2.517493486E0,3.503380537E0,5.586683154E-1
5.096196950E-1,-4.599366784E-1,4.077557087E0,1.305950642E0
5.146626640E-1,6.330237389E-1,3.043719292E0,1.572799206E0
5.197102680E-1,-2.506124079E-1,1.181105971E0,9.176621437E-1
5.247573510E-1,-2.043983698E0,-1.286044359E0,-1.737003624E-1
5.298204240E-1,-2.633074522E0,-2.792326689E0,-7.281700373E-1
5.348991220E-1,-1.477795839E0,-2.725748062E0,-8.389574289E-1
5.399572990E-1,1.930698603E-1,-2.410962582E0,-1.150014281E0
5.450167790E-1,1.575781941E0,-1.931061268E0,-1.673591256E0
5.501234450E-1,2.570205212E0,-1.051686287E0,-2.049629450E0
5.551166740E-1,3.235994816E0,3.225035667E-1,-2.143372536E0
5.602140700E-1,4.047725677E0,2.324666262E0,-2.113545418E0
5.652154760E-1,5.223776817E0,4.513782501E0,-2.162014961E0
5.703035490E-1,6.403555870E0,6.146298885E0,-2.289313793E0
5.753356330E-1,7.092248917E0,7.104503155E0,-2.223799944E0
5.804384970E-1,7.058160305E0,7.558305264E0,-1.782248139E0
