"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.501713712E2,5.233406881E1,4.866294070E0,3.458637416E1,0.000000000E0,0.000000000E0,1.436480103E2,6.400000000E1
1.511713711E2,5.233406176E1,4.867800300E0,2.539435493E1,0.000000000E0,0.000000000E0,1.736640015E2,9.600000000E1
1.531713709E2,5.233404859E1,4.867859140E0,2.551985835E1,0.000000000E0,0.000000000E0,2.272640076E2,9.600000000E1
1.601713710E2,5.233408029E1,4.866237760E0,3.403582098E1,0.000000000E0,0.000000000E0,2.154720001E2,9.600000000E1
1.611713712E2,5.233408028E1,4.866237960E0,3.403777420E1,0.000000000E0,0.000000000E0,1.876000061E2,9.600000000E1
1.621713710E2,5.233408049E1,4.866241570E0,3.409856758E1,0.000000000E0,0.000000000E0,1.575839996E2,6.400000000E1
1.631713707E2,5.233408052E1,4.866241270E0,3.409527155E1,0.000000000E0,0.000000000E0,1.350720062E2,6.400000000E1
1.641713711E2,5.233408018E1,4.866240080E0,3.409203553E1,0.000000000E0,0.000000000E0,1.211360016E2,4.800000000E1
1.651713707E2,5.233408017E1,4.866240110E0,3.409215760E1,0.000000000E0,0.000000000E0,1.125600052E2,4.800000000E1
1.661713710E2,5.233408016E1,4.866240140E0,3.409221864E1,0.000000000E0,0.000000000E0,1.200640030E2,4.800000000E1
1.671713706E2,5.233408007E1,4.866240580E0,3.409203566E1,0.000000000E0,0.000000000E0,1.404320068E2,4.800000000E1
1.681713708E2,5.233408006E1,4.866240410E0,3.409044864E1,0.000000000E0,0.000000000E0,1.618720093E2,6.400000000E1
1.691713711E2,5.233408006E1,4.866240410E0,3.409044864E1,0.000000000E0,0.000000000E0,1.876000061E2,6.400000000E1
1.701713705E2,5.233408027E1,4.866238460E0,3.407225934E1,0.000000000E0,0.000000000E0,1.897440033E2,6.400000000E1
1.711713707E2,5.233408070E1,4.866243140E0,3.414843450E1,0.000000000E0,0.000000000E0,1.833120117E2,6.400000000E1
1.721713704E2,5.233408074E1,4.866243120E0,3.414855661E1,0.000000000E0,0.000000000E0,1.629440002E2,6.400000000E1
1.731713711E2,5.233408234E1,4.866241220E0,3.413531315E1,0.000000000E0,0.000000000E0,1.318560028E2,4.800000000E1
1.741713706E2,5.233408773E1,4.866244940E0,3.409961729E1,0.000000000E0,0.000000000E0,1.125600052E2,4.800000000E1
1.751713708E2,5.233409025E1,4.866234550E0,3.396539858E1,0.000000000E0,0.000000000E0,1.157760010E2,4.800000000E1
1.761713707E2,5.233409327E1,4.866241350E0,3.337629539E1,0.000000000E0,0.000000000E0,1.093440018E2,4.800000000E1
1.771713707E2,5.233409679E1,4.866247960E0,3.306966350E1,0.000000000E0,0.000000000E0,1.007680054E2,4.800000000E1
1.781713710E2,5.233410327E1,4.866275010E0,3.318376280E1,0.000000000E0,0.000000000E0,9.862400055E1,4.800000000E1
1.791713702E2,5.233410351E1,4.866273280E0,3.317289789E1,0.000000000E0,0.000000000E0,1.018400040E2,4.800000000E1
1.801713700E2,5.233410351E1,4.866273280E0,3.317289789E1,0.000000000E0,0.000000000E0,1.050559998E2,4.800000000E1
1.811713706E2,5.233410351E1,4.866273280E0,3.317289789E1,0.000000000E0,0.000000000E0,1.093440018E2,4.800000000E1
1.821713707E2,5.233410352E1,4.866272930E0,3.317002905E1,0.000000000E0,0.000000000E0,1.114880066E2,4.800000000E1
1.831713711E2,5.233410352E1,4.866272930E0,3.317002905E1,0.000000000E0,0.000000000E0,1.147040024E2,4.800000000E1
1.841713712E2,5.233410352E1,4.866272930E0,3.317002905E1,0.000000000E0,0.000000000E0,1.372160034E2,6.400000000E1
1.851713702E2,5.233408042E1,4.867299650E0,1.771336964E1,0.000000000E0,0.000000000E0,1.661600037E2,6.400000000E1
1.881713701E2,5.233410362E1,4.866270750E0,3.315483019E1,0.000000000E0,0.000000000E0,2.390559998E2,9.600000000E1
1.891713702E2,5.233410370E1,4.866269040E0,3.314103538E1,0.000000000E0,0.000000000E0,2.669280090E2,9.600000000E1
1.931713710E2,5.233410737E1,4.866249180E0,3.300162488E1,0.000000000E0,0.000000000E0,2.487040100E2,9.600000000E1
1.941713710E2,5.233410771E1,4.866249230E0,3.300980410E1,0.000000000E0,0.000000000E0,2.101119995E2,9.600000000E1
1.951713710E2,5.233410772E1,4.866248630E0,3.300498199E1,0.000000000E0,0.000000000E0,1.822400055E2,6.400000000E1
1.961713710E2,5.233410772E1,4.866248640E0,3.300516511E1,0.000000000E0,0.000000000E0,1.629440002E2,6.400000000E1
1.971713711E2,5.233410771E1,4.866248650E0,3.300528717E1,0.000000000E0,0.000000000E0,1.500800018E2,6.400000000E1
1.981713704E2,5.233410771E1,4.866248660E0,3.300540924E1,0.000000000E0,0.000000000E0,1.511520081E2,6.400000000E1
1.991713712E2,5.233410773E1,4.866248110E0,3.300107546E1,0.000000000E0,0.000000000E0,1.779520111E2,6.400000000E1
2.001713710E2,5.233410770E1,4.866247820E0,3.299924420E1,0.000000000E0,0.000000000E0,2.015360107E2,6.400000000E1
2.011713699E2,5.233410777E1,4.866245370E0,3.297977268E1,0.000000000E0,0.000000000E0,2.315520020E2,9.600000000E1
2.021713697E2,5.233410776E1,4.866245750E0,3.298276361E1,0.000000000E0,0.000000000E0,2.637120056E2,9.600000000E1
2.051713709E2,5.233410857E1,4.866250320E0,3.266166140E1,0.000000000E0,0.000000000E0,2.336959991E2,9.600000000E1
2.061713707E2,5.233410902E1,4.866245500E0,3.263956455E1,0.000000000E0,0.000000000E0,1.972480011E2,6.400000000E1
2.071713710E2,5.233410970E1,4.866242810E0,3.254605811E1,0.000000000E0,0.000000000E0,1.747360077E2,6.400000000E1
2.081713709E2,5.233411105E1,4.866247690E0,3.249900470E1,0.000000000E0,0.000000000E0,1.500800018E2,6.400000000E1
2.091713707E2,5.233411379E1,4.866261470E0,3.257787386E1,0.000000000E0,0.000000000E0,1.404320068E2,6.400000000E1
2.101713700E2,5.233411522E1,4.866268630E0,3.261883455E1,0.000000000E0,0.000000000E0,1.382880096E2,6.400000000E1
2.111713707E2,5.233411532E1,4.866268650E0,3.262237475E1,0.000000000E0,0.000000000E0,1.382880096E2,6.400000000E1
2.121713707E2,5.233411560E1,4.866270910E0,3.268750094E1,0.000000000E0,0.000000000E0,1.404320068E2,6.400000000E1
2.131713708E2,5.233411560E1,4.866267770E0,3.266747962E1,0.000000000E0,0.000000000E0,1.457920074E2,6.400000000E1
2.141713700E2,5.233411560E1,4.866267770E0,3.266747962E1,0.000000000E0,0.000000000E0,1.511520081E2,6.400000000E1
2.151713710E2,5.233411560E1,4.866267770E0,3.266747962E1,0.000000000E0,0.000000000E0,1.758079987E2,6.400000000E1
2.161713710E2,5.233411560E1,4.866267770E0,3.266747962E1,0.000000000E0,0.000000000E0,2.026080017E2,9.600000000E1
2.171713711E2,5.233411560E1,4.866267630E0,3.267144682E1,0.000000000E0,0.000000000E0,2.304800110E2,9.600000000E1
2.181713705E2,5.233411560E1,4.866267130E0,3.266821167E1,0.000000000E0,0.000000000E0,2.594240112E2,9.600000000E1
2.281713708E2,5.233411670E1,4.866261840E0,3.267797582E1,0.000000000E0,0.000000000E0,2.594240112E2,9.600000000E1
