"event","experiment time","system time","system time text"
"START",0.000000000E0,1622886550.275,"2021-06-05 11:49:10.275 UTC+02:00"
"PAUSE",3.001092138E2,1622886850.385,"2021-06-05 11:54:10.385 UTC+02:00"
