"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.472403543E1,5.233236983E1,4.868568180E0,1.812593392E1,0.000000000E0,0.000000000E0,6.432000160E0,8.000000000E0
4.572403443E1,5.233234395E1,4.868573600E0,1.788108859E1,2.200000048E0,1.680000000E2,5.360000134E0,8.000000000E0
4.672403464E1,5.233232964E1,4.868577790E0,1.768929839E1,0.000000000E0,0.000000000E0,6.432000160E0,8.000000000E0
4.772403506E1,5.233232734E1,4.868578040E0,1.767904139E1,0.000000000E0,0.000000000E0,7.504000187E0,8.000000000E0
4.872403516E1,5.233232172E1,4.868577390E0,1.621302969E1,1.009999990E0,1.610000000E2,6.432000160E0,8.000000000E0
4.972403438E1,5.233230550E1,4.868576300E0,1.640160487E1,2.199999988E-1,2.997000122E2,5.360000134E0,6.000000000E0
5.072403454E1,5.233229747E1,4.868570840E0,1.734293567E1,1.800000072E-1,2.570000000E2,5.360000134E0,6.000000000E0
5.172403516E1,5.233228845E1,4.868578490E0,1.783847178E1,0.000000000E0,0.000000000E0,5.360000134E0,6.000000000E0
5.272403464E1,5.233226884E1,4.868602780E0,1.710042097E1,2.230000019E0,1.513999939E2,5.360000134E0,6.000000000E0
5.372403490E1,5.233225068E1,4.868613780E0,1.517437631E1,1.129999995E0,1.596000061E2,4.288000107E0,6.000000000E0
5.472403464E1,5.233222681E1,4.868616850E0,1.497707885E1,2.250000000E0,1.755000000E2,4.288000107E0,6.000000000E0
5.572403490E1,5.233219610E1,4.868616930E0,1.422312943E1,2.250000000E0,1.798999939E2,4.288000107E0,6.000000000E0
5.672403464E1,5.233216395E1,4.868615420E0,1.360498030E1,2.259999990E0,1.773999939E2,4.288000107E0,6.000000000E0
5.772403459E1,5.233213012E1,4.868615910E0,1.319080944E1,2.279999971E0,1.776000061E2,4.288000107E0,6.000000000E0
5.872403459E1,5.233209434E1,4.868618860E0,1.292318265E1,2.319999933E0,1.826999969E2,4.288000107E0,6.000000000E0
5.972403449E1,5.233206112E1,4.868612180E0,1.231625953E1,1.620000005E0,1.911999969E2,4.288000107E0,6.000000000E0
6.072403501E1,5.233201205E1,4.868604920E0,1.207729472E1,4.369999886E0,1.851999969E2,4.288000107E0,6.000000000E0
6.172403506E1,5.233195720E1,4.868597330E0,1.221814337E1,2.400000095E0,1.848000031E2,9.648000717E0,6.000000000E0
6.272403428E1,5.233191540E1,4.868572440E0,1.275261622E1,2.910000086E0,1.853000031E2,9.648000717E0,6.000000000E0
6.372403459E1,5.233180041E1,4.868532370E0,8.278432478E0,4.639999866E0,1.781999969E2,1.072000027E1,6.000000000E0
6.472403480E1,5.233174990E1,4.868528710E0,7.795937434E0,4.969999790E0,1.831000061E2,1.072000027E1,6.000000000E0
6.572403532E1,5.233171281E1,4.868527150E0,8.782822827E0,4.349999905E0,1.841999969E2,9.648000717E0,6.000000000E0
6.672403412E1,5.233165519E1,4.868539970E0,9.670627492E0,5.130000114E0,1.798000031E2,9.648000717E0,8.000000000E0
6.772403522E1,5.233160553E1,4.868529960E0,1.021846449E1,5.260000229E0,1.843999939E2,9.648000717E0,6.000000000E0
6.872403496E1,5.233155471E1,4.868506810E0,9.902461771E0,5.389999866E0,1.876000061E2,9.648000717E0,6.000000000E0
6.972403522E1,5.233151391E1,4.868512460E0,1.027832312E1,4.420000076E0,1.836999969E2,9.648000717E0,6.000000000E0
7.072403464E1,5.233145181E1,4.868515500E0,1.061838639E1,5.639999866E0,1.705000000E2,9.648000717E0,6.000000000E0
7.172403371E1,5.233140159E1,4.868505780E0,1.035952111E1,5.329999924E0,1.830000000E2,9.648000717E0,6.000000000E0
7.272403532E1,5.233135007E1,4.868500460E0,1.030799293E1,5.440000057E0,1.778999939E2,1.072000027E1,8.000000000E0
7.372403464E1,5.233128022E1,4.868478520E0,1.045650271E1,7.309999943E0,1.901000061E2,9.648000717E0,8.000000000E0
7.472403490E1,5.233122625E1,4.868479550E0,9.983893169E0,6.000000000E0,1.843000031E2,9.648000717E0,6.000000000E0
7.572403522E1,5.233117783E1,4.868461270E0,1.150297962E1,5.880000114E0,1.871000061E2,9.648000717E0,8.000000000E0
7.672403459E1,5.233112322E1,4.868449590E0,1.092611388E1,5.510000229E0,1.778000031E2,9.648000717E0,8.000000000E0
7.772403522E1,5.233106806E1,4.868430540E0,1.101318357E1,5.840000153E0,1.848000031E2,9.648000717E0,8.000000000E0
7.872403522E1,5.233102661E1,4.868435160E0,1.168982466E1,5.440000057E0,1.833000031E2,9.648000717E0,8.000000000E0
