"event","experiment time","system time","system time text"
"START",0.000000000E0,1622883535.828,"2021-06-05 10:58:55.828 UTC+02:00"
"PAUSE",3.000985017E2,1622883835.927,"2021-06-05 11:03:55.927 UTC+02:00"
