"event","experiment time","system time","system time text"
"START",0.000000000E0,1622884273.450,"2021-06-05 11:11:13.450 UTC+02:00"
"PAUSE",3.000955482E2,1622884573.546,"2021-06-05 11:16:13.546 UTC+02:00"
