"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.981873540E-1,2.809540629E-1,-2.400842667E0,2.390600927E-2
5.032822500E-1,5.446068645E-1,-2.314556360E0,-4.693401232E-2
5.083127190E-1,8.306301236E-1,-2.185659409E0,-1.321550906E-1
5.134356350E-1,1.128371239E0,-2.025337219E0,-2.253656536E-1
5.184304270E-1,1.436232448E0,-1.839448690E0,-3.270983100E-1
5.234823540E-1,1.740365148E0,-1.633320212E0,-4.267004430E-1
5.285457920E-1,2.020529270E0,-1.420267463E0,-5.268352628E-1
5.336219900E-1,2.265539885E0,-1.208812594E0,-6.360247135E-1
5.386610520E-1,2.464211464E0,-9.989558458E-1,-7.633237243E-1
5.437288130E-1,2.598967314E0,-7.890989780E-1,-9.050037861E-1
5.487858960E-1,2.635718822E0,-5.621978045E-1,-1.037629008E0
5.538395420E-1,2.520670414E0,-3.246440291E-1,-1.124980569E0
5.588949580E-1,2.223461866E0,-9.135134518E-2,-1.144688010E0
5.639322500E-1,1.800552487E0,8.175397664E-2,-1.092490077E0
5.689942810E-1,1.360598683E0,9.613503516E-2,-9.572017193E-1
5.740466770E-1,9.973438382E-1,-1.174502969E-1,-6.951468587E-1
5.791405830E-1,8.183795810E-1,-5.291746259E-1,-2.807593644E-1
5.841721460E-1,8.833606839E-1,-9.627369046E-1,2.065987140E-1
5.892674060E-1,1.054335475E0,-1.212008476E0,5.783756971E-1
5.942693850E-1,1.096946001E0,-1.239172697E0,7.466873527E-1
5.993576150E-1,9.105248451E-1,-1.008543253E0,7.621335983E-1
6.044123540E-1,5.296931267E-1,-6.484841704E-1,6.635967493E-1
6.094432400E-1,7.216244191E-2,-3.949514329E-1,5.000787973E-1
6.145300630E-1,-3.699219227E-1,-3.550040424E-1,3.296366334E-1
6.196463130E-1,-7.630041242E-1,-4.226482809E-1,1.533355266E-1
6.246352710E-1,-1.109747410E0,-4.716504216E-1,-4.214032367E-2
6.297472500E-1,-1.425598025E0,-4.828356802E-1,-2.253656536E-1
6.347779270E-1,-1.747840166E0,-4.982819855E-1,-3.393488526E-1
6.398630310E-1,-2.109497547E0,-5.302398801E-1,-3.377509713E-1
6.448582400E-1,-2.481274366E0,-5.334357023E-1,-2.243003845E-1
6.499566770E-1,-2.881813526E0,-4.865640998E-1,-1.124768518E-2
6.549889170E-1,-3.305255651E0,-3.869619668E-1,2.710471451E-1
6.600552710E-1,-3.604594707E0,-1.739092618E-1,5.703861713E-1
6.651021980E-1,-3.536417961E0,3.081224859E-1,7.797104716E-1
6.701996980E-1,-2.880215645E0,9.520742893E-1,7.616009712E-1
6.752183440E-1,-1.643977046E0,1.405344009E0,4.595988095E-1
6.803014690E-1,-1.749786884E-1,1.668464065E0,-4.959717020E-2
6.853253750E-1,1.024508119E0,1.951291442E0,-6.104584336E-1
6.904087600E-1,1.630643010E0,2.214944124E0,-1.093022704E0
6.954504270E-1,1.756876707E0,2.391777992E0,-1.460538626E0
7.005154270E-1,1.858076811E0,2.315611601E0,-1.679982901E0
7.055651150E-1,2.158480644E0,1.837308288E0,-1.785443902E0
7.106345420E-1,2.483918667E0,1.172583818E0,-1.796629310E0
7.156814170E-1,2.620805264E0,5.648509860E-1,-1.702353477E0
7.207409480E-1,2.467940092E0,4.660028219E-2,-1.446157575E0
7.257993850E-1,2.052487135E0,-3.619282842E-1,-1.035498500E0
7.308523020E-1,1.566727161E0,-4.988146126E-1,-5.758373141E-1
7.359029270E-1,1.239691257E0,-1.776376814E-1,-2.008645982E-1
7.409705830E-1,1.221581817E0,5.888194442E-1,3.881970048E-2
7.460283440E-1,1.575781941E0,1.710541964E0,1.341607869E-1
7.511081350E-1,2.249560833E0,3.026142359E0,1.128555238E-1
7.561441250E-1,3.051704407E0,4.265575886E0,1.218811236E-2
7.611906350E-1,3.762235165E0,5.205138206E0,-1.710372120E-1
7.662630830E-1,4.270898342E0,5.748955727E0,-3.723720312E-1
7.713261560E-1,4.552127838E0,5.905549049E0,-5.076604486E-1
7.763805830E-1,4.608054638E0,5.696224689E0,-5.481404662E-1
