"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.511964167E-1,-6.119123697E-1,-3.532244563E-1,-4.680332839E-1
8.611494167E-1,-3.485736251E-1,-6.337559968E-2,-5.258659720E-1
8.711014167E-1,-1.188085824E-1,2.668318748E-1,-5.176448226E-1
8.810544167E-1,4.423787445E-2,5.718938708E-1,-4.424459040E-1
8.910074167E-1,1.311855465E-1,8.181918263E-1,-2.997505367E-1
9.009604167E-1,1.618859023E-1,9.850209355E-1,-1.015754044E-1
9.109134167E-1,1.468797773E-1,1.026620269E0,1.255389750E-1
9.208664167E-1,6.093718857E-2,9.546828866E-1,3.437266052E-1
9.308194167E-1,-8.491588384E-2,7.647720575E-1,5.294243097E-1
9.407724167E-1,-2.479881197E-1,4.482805431E-1,6.580034494E-1
9.507254167E-1,-3.917210698E-1,7.453545928E-2,7.103348374E-1
9.606784167E-1,-5.059837699E-1,-2.891946137E-1,7.007998824E-1
9.706314167E-1,-5.754265189E-1,-6.109880805E-1,6.444876194E-1
9.805844167E-1,-5.621085167E-1,-8.434094191E-1,5.525134802E-1
9.905374167E-1,-4.388240874E-1,-9.849486947E-1,4.267185330E-1
1.000490417E0,-2.197229862E-1,-1.068736792E0,2.908549309E-1
1.010443417E0,5.753977597E-2,-1.072370172E0,1.480509341E-1
1.020396417E0,3.650563359E-1,-1.027021527E0,3.516007960E-2
1.030349417E0,6.440411210E-1,-9.180827737E-1,-4.820378870E-2
1.040302417E0,8.581477404E-1,-7.449634671E-1,-8.613527566E-2
1.050255417E0,9.815242887E-1,-5.293161273E-1,-8.623141795E-2
1.060207417E0,1.018890977E0,-3.230853081E-1,-6.341967732E-2
1.070160417E0,9.790809155E-1,-1.767145246E-1,7.329436485E-4
1.080113417E0,8.805386424E-1,-7.615701854E-2,1.109521315E-1
1.090066417E0,7.449142337E-1,-1.319908909E-2,2.500884533E-1
1.100019417E0,5.896506906E-1,2.507213876E-2,3.843455315E-1
1.109972417E0,4.326688051E-1,3.128289804E-2,4.902906120E-1
1.119925417E0,2.787200809E-1,1.191846374E-2,5.747971535E-1
1.129878417E0,1.526034176E-1,-9.884038009E-3,6.834107041E-1
1.139831417E0,8.773554862E-2,-5.461847037E-2,7.980941534E-1
1.149784417E0,6.026877090E-2,-1.714649349E-1,8.995507956E-1
1.159737417E0,4.183652624E-2,-3.520996869E-1,9.717805386E-1
1.169690417E0,1.777939312E-2,-5.332093239E-1,1.006223679E0
1.179643417E0,-1.593781263E-2,-6.984930038E-1,1.006233573E0
1.189596417E0,-9.166213870E-2,-8.247422576E-1,9.647052884E-1
1.199549417E0,-1.976841092E-1,-8.920848966E-1,8.984760642E-1
1.209502417E0,-2.858517766E-1,-8.847109079E-1,8.516339660E-1
1.219455417E0,-3.471227884E-1,-8.470092416E-1,8.185786009E-1
1.229408417E0,-3.588638902E-1,-7.863184810E-1,7.937358618E-1
1.239360417E0,-3.040379882E-1,-7.246003747E-1,7.565532923E-1
1.249313417E0,-1.956715584E-1,-7.015805244E-1,6.977243423E-1
1.259266417E0,-9.844703972E-2,-6.607901454E-1,6.026765704E-1
1.269219417E0,-6.868781149E-2,-5.317754149E-1,5.085293055E-1
1.279172417E0,-9.874828160E-2,-3.517852426E-1,4.339203238E-1
1.289125417E0,-1.481033266E-1,-1.777125150E-1,3.688411713E-1
1.299078417E0,-1.604554653E-1,-4.148334265E-2,3.394873738E-1
1.309031417E0,-7.248006016E-2,1.149385516E-2,3.014768958E-1
1.318984417E0,1.127590016E-1,-1.568421349E-2,2.215873748E-1
1.328937417E0,3.637528718E-1,-1.144856215E-1,7.687147707E-2
1.338890417E0,6.494925618E-1,-2.655300200E-1,-1.285606772E-1
1.348843417E0,9.262520075E-1,-3.717837632E-1,-3.597603440E-1
1.358796417E0,1.146489263E0,-4.103123844E-1,-5.640115738E-1
1.368749417E0,1.311904788E0,-3.865652680E-1,-7.020120621E-1
1.378702417E0,1.421077490E0,-2.989616990E-1,-7.616220117E-1
1.388655417E0,1.476298690E0,-1.479663402E-1,-7.563891411E-1
1.398608417E0,1.468383908E0,6.695403904E-2,-6.933650374E-1
1.408561417E0,1.386893272E0,3.529860377E-1,-5.778541565E-1
1.418513417E0,1.242800713E0,6.668747067E-1,-4.056558311E-1
1.428466417E0,1.034451485E0,9.464496374E-1,-2.062985301E-1
1.438419417E0,8.081686497E-1,1.121538043E0,1.084984187E-2
1.448372417E0,6.181030869E-1,1.168583393E0,1.940905154E-1
