"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.623849731284770E9,"2021-06-16 15:22:11.285 UTC+02:00"
"PAUSE",6.005638414999994E2,1.623850334066318E9,"2021-06-16 15:32:14.066 UTC+02:00"
