"event","experiment time","system time","system time text"
"START",0.000000000E0,1623911355.689,"2021-06-17 14:29:15.689 UTC+08:00"
"PAUSE",6.000319189E2,1623911955.721,"2021-06-17 14:39:15.721 UTC+08:00"
