"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.979422520E-1,4.381924629E0,3.433734655E0,1.216183901E0
5.030403770E-1,4.035714149E0,3.430006266E0,1.165583849E0
5.080845440E-1,3.537703276E0,3.313359737E0,1.051600695E0
5.131554810E-1,2.946482182E0,3.084328413E0,9.232364297E-1
5.181748040E-1,2.370174408E0,2.779130220E0,8.550595641E-1
5.232357410E-1,1.931818724E0,2.373797655E0,8.651795983E-1
5.282917310E-1,1.669763923E0,1.883776307E0,9.424111843E-1
5.333498560E-1,1.551519752E0,1.379906654E0,1.085689068E0
5.384072000E-1,1.565368056E0,8.845590353E-1,1.279567003E0
5.434658460E-1,1.664970279E0,3.726999164E-1,1.474510312E0
5.485243870E-1,1.809313416E0,-1.386265606E-1,1.628973484E0
5.535798560E-1,1.960580826E0,-5.657972693E-1,1.725379944E0
5.586395440E-1,2.084684134E0,-8.432983756E-1,1.741891503E0
5.636967830E-1,2.159252405E0,-9.871089458E-1,1.640158772E0
5.687547000E-1,2.141143084E0,-1.065405846E0,1.437226057E0
5.738137620E-1,2.030888081E0,-1.087776303E0,1.203933358E0
5.788724080E-1,1.864174485E0,-1.031849980E0,9.908806682E-1
5.839291270E-1,1.693199754E0,-8.869741559E-1,8.188405633E-1
5.889870440E-1,1.563770175E0,-6.733888388E-1,7.027269006E-1
5.940446480E-1,1.501452327E0,-4.257150888E-1,6.345499754E-1
5.991029290E-1,1.504648089E0,-1.727149934E-1,6.052552462E-1
6.041623040E-1,1.554182768E0,5.365349352E-2,5.866131783E-1
6.092217830E-1,1.623957515E0,1.905398518E-1,5.487963557E-1
6.142766270E-1,1.680949092E0,2.262261957E-1,4.822172821E-1
6.193358460E-1,1.703852296E0,2.198346108E-1,4.172362387E-1
6.243946480E-1,1.695862889E0,2.251609266E-1,3.895393908E-1
6.294520440E-1,1.660709143E0,2.736304104E-1,4.033877850E-1
6.345122000E-1,1.594130158E0,3.540577888E-1,4.246930778E-1
6.395677730E-1,1.481212378E0,4.344851971E-1,4.193667769E-1
6.446255850E-1,1.327814341E0,5.244999528E-1,3.959309757E-1
6.497013140E-1,1.165894270E0,6.272979379E-1,3.772888482E-1
6.547447000E-1,1.029540539E0,7.306284308E-1,3.810172677E-1
6.597999600E-1,9.587005377E-1,8.350242972E-1,4.039204419E-1
6.648938140E-1,9.629616737E-1,9.431484938E-1,4.209646583E-1
6.699157940E-1,1.026344776E0,1.058197021E0,4.060509801E-1
6.749955850E-1,1.131273270E0,1.173778176E0,3.858109415E-1
6.800342310E-1,1.257506847E0,1.262194991E0,3.815498948E-1
6.850911580E-1,1.381077409E0,1.304805517E0,3.927351832E-1
6.901472000E-1,1.490799665E0,1.309599161E0,4.332152009E-1
6.952073040E-1,1.561639667E0,1.278706551E0,5.061857700E-1
7.002645960E-1,1.597326040E0,1.214258075E0,6.052552462E-1
7.053214190E-1,1.584010243E0,1.126374006E0,7.144447565E-1
7.103799080E-1,1.527551174E0,1.004933834E0,8.262974620E-1
7.154391270E-1,1.425285935E0,8.472747803E-1,9.477375150E-1
7.205345960E-1,1.303313255E0,6.299610734E-1,1.063851237E0
7.255565230E-1,1.168557405E0,3.572536111E-1,1.153865933E0
7.306124600E-1,1.045519471E0,8.401350677E-2,1.211922884E0
7.356699080E-1,9.597658515E-1,-1.482139230E-1,1.230032325E0
7.407309500E-1,9.198184609E-1,-3.287761211E-1,1.220444918E0
7.457860020E-1,9.171553254E-1,-4.438245893E-1,1.199139714E0
7.508811060E-1,9.427216053E-1,-4.816414118E-1,1.167181730E0
7.559019910E-1,9.757447839E-1,-4.262477160E-1,1.131495476E0
7.609611060E-1,9.933216572E-1,-2.664581835E-1,1.084091187E0
7.660180330E-1,9.885279536E-1,-4.008969665E-2,1.020707965E0
7.710777210E-1,9.602984786E-1,2.006598711E-1,9.434764385E-1
7.761371480E-1,9.150247574E-1,4.169083536E-1,8.657122254E-1
7.812304290E-1,8.686858416E-1,5.633820891E-1,7.991332412E-1
7.862507410E-1,8.425868154E-1,6.187757850E-1,7.448047996E-1
7.913087100E-1,8.399236798E-1,5.985357761E-1,6.888784766E-1
7.963679810E-1,8.772079349E-1,5.436747074E-1,6.095163226E-1
8.014257410E-1,9.448521733E-1,4.584536254E-1,5.131099820E-1
8.064822520E-1,1.019420505E0,3.418072462E-1,4.241604507E-1
8.115745440E-1,1.072151065E0,2.459335476E-1,3.538530767E-1
8.166322520E-1,1.085999608E0,2.097145915E-1,2.984593511E-1
8.216897520E-1,1.048182726E0,2.033230215E-1,2.521203756E-1
8.267545960E-1,9.491131902E-1,2.240956575E-1,2.260214686E-1
8.318087100E-1,7.909215689E-1,2.730977833E-1,2.249561995E-1
8.368315750E-1,5.981088877E-1,3.087840974E-1,2.313477844E-1
8.418894910E-1,3.823929727E-1,3.087840974E-1,2.404025197E-1
8.469472000E-1,1.863844991E-1,2.736304104E-1,2.473267317E-1
8.520063660E-1,4.363918304E-2,2.246282995E-1,2.473267317E-1
8.570631370E-1,-6.501769274E-2,1.782893389E-1,2.356088310E-1
8.621214190E-1,-1.571629792E-1,1.500598490E-1,2.031182945E-1
8.671787100E-1,-2.375903875E-1,1.665714234E-1,1.445288062E-1
8.722647520E-1,-3.153546154E-1,2.177040875E-1,6.090560555E-2
8.773430850E-1,-3.909883499E-1,2.912072539E-1,-5.147969350E-2
8.823535540E-1,-4.602304697E-1,3.764283359E-1,-1.963555217E-1
8.874115750E-1,-5.353314877E-1,4.515294135E-1,-3.577429652E-1
8.924699600E-1,-6.173567772E-1,5.063905120E-1,-5.415009260E-1
8.975281890E-1,-7.015125751E-1,5.202388763E-1,-7.391073108E-1
9.025851160E-1,-7.734178305E-1,4.723020196E-1,-9.484315515E-1
9.076537620E-1,-8.629000187E-1,3.684388399E-1,-1.146570563E0
9.127005330E-1,-1.006710649E0,2.155735642E-1,-1.295707464E0
9.177974600E-1,-1.190468550E0,-8.664420806E-3,-1.386787415E0
9.228223040E-1,-1.426424503E0,-2.712518871E-1,-1.448572755E0
9.278776690E-1,-1.694338202E0,-4.928267002E-1,-1.494379163E0
