"event","experiment time","system time","system time text"
"START",0.000000000E0,1623915036.996,"2021-06-17 09:30:36.996 UTC+02:00"
"PAUSE",5.115324170E1,1623915088.150,"2021-06-17 09:31:28.150 UTC+02:00"
"START",5.115324170E1,1623915234.417,"2021-06-17 09:33:54.417 UTC+02:00"
"PAUSE",6.511964170E2,1623915834.460,"2021-06-17 09:43:54.460 UTC+02:00"
