"event","experiment time","system time","system time text"
"START",0.000000000E0,1623924135.080,"2021-06-17 12:02:15.080 UTC+02:00"
"PAUSE",6.000468390E2,1623924735.127,"2021-06-17 12:12:15.127 UTC+02:00"
