"event","experiment time","system time","system time text"
"START",0.000000000E0,1623913338.364,"2021-06-17 09:02:18.364 UTC+02:00"
"PAUSE",3.399371060E2,1623913678.301,"2021-06-17 09:07:58.301 UTC+02:00"
