"event","experiment time","system time","system time text"
"START",0.000000000E0,1623920126.174,"2021-06-17 10:55:26.174 UTC+02:00"
"PAUSE",6.000714904E2,1623920726.246,"2021-06-17 11:05:26.246 UTC+02:00"
