"event","experiment time","system time","system time text"
"START",0.000000000E0,1623922758.209,"2021-06-17 11:39:18.209 UTC+02:00"
"PAUSE",6.000525833E2,1623923358.262,"2021-06-17 11:49:18.262 UTC+02:00"
