"event","experiment time","system time","system time text"
"START",0.000000000E0,1624092600.608,"2021-06-19 16:50:00.608 UTC+08:00"
"PAUSE",6.000367247E2,1624093200.645,"2021-06-19 17:00:00.645 UTC+08:00"
