"event","experiment time","system time","system time text"
"START",0.000000000E0,1624007706.750,"2021-06-18 17:15:06.750 UTC+08:00"
"PAUSE",6.000443231E2,1624008306.795,"2021-06-18 17:25:06.795 UTC+08:00"
