"event","experiment time","system time","system time text"
"START",0.000000000E0,1624008370.017,"2021-06-18 17:26:10.017 UTC+08:00"
"PAUSE",6.000464491E2,1624008970.063,"2021-06-18 17:36:10.063 UTC+08:00"
