"event","experiment time","system time","system time text"
"START",0.000000000E0,1624021539.773,"2021-06-18 21:05:39.773 UTC+08:00"
"PAUSE",6.000349437E2,1624022139.808,"2021-06-18 21:15:39.808 UTC+08:00"
