,acc_Acceleration x (m/s^2),acc_Acceleration y (m/s^2),acc_Acceleration z (m/s^2),gyr_Gyroscope x (rad/s),gyr_Gyroscope y (rad/s),gyr_Gyroscope z (rad/s),lux_Illuminance (lx),loc_Latitude (°),loc_Longitude (°),loc_Height (m),loc_Velocity (m/s),loc_Direction (°),loc_Horizontal Accuracy (m),loc_Vertical Accuracy (m),mag_Magnetic field x (µT),mag_Magnetic field y (µT),mag_Magnetic field z (µT)
2021-06-02 08:20:35.058970112,2.0171667503442308,3.148175209740385,9.110174710942307,-0.11814725831731074,-0.1421559045675385,-0.3107473992446154,190.09999845,28.7067228,115.9058547,24.4380573,0.0,0.0,42.5,5.456315517,3.4520189875714284,-56.12522779142858,-27.544113794285707
2021-06-02 08:20:35.308970112,0.8725491005442306,3.330806243932692,9.471332715288462,-0.13281522619067307,0.10246962756921923,0.15143725789328844,166.1999969,,,,,,,,3.58045593256,-56.047775116800004,-28.924735336799998
2021-06-02 08:20:35.558970112,1.546933948980769,2.7117726825865387,9.362882036451923,0.32912920199519236,0.3756475707923077,0.3289764906096154,188.6999969,,,,,,,,3.8639839458400003,-52.894318999999996,-24.032047499999997
2021-06-02 08:20:35.808970112,1.446958838185577,3.1989450454807695,8.914823146923077,0.24461669428606664,0.15444109421733335,0.28997064801047623,221.6999969,,,,,,,,2.7733039427199997,-52.805502929199996,-18.720655671199996
2021-06-02 08:20:36.058970112,1.4105344345673076,3.3553758102692304,9.185413424778845,-0.0407505607856173,-0.1267038179728846,0.08717495168803846,252.75,,,,,,,,0.6051199870968,-53.6229028308,-18.0037835688
2021-06-02 08:20:36.308970112,1.16397304375,3.7476520515576928,8.723943719471155,0.33692925086673076,0.25070581193452884,-0.24692325708730767,271.8999939,,,,,,,,1.6538319611639998,-55.059574736799995,-16.630063820399997
2021-06-02 08:20:36.558970112,0.24201445233171154,4.3316934728173075,8.439620614038462,0.19406294438121158,0.07032966304826925,-0.009434359712605776,252.3000031,,,,,,,,7.3448878860399995,-59.4257107544,-10.55885578076
2021-06-02 08:20:36.808970112,0.979987418985577,4.451412260461538,8.91653726651923,-0.1799884943693173,-0.10305698076098076,0.09784715821726442,227.1999969,,,,,,,,6.2507918930000015,-62.2946626288,-12.627487754800002
2021-06-02 08:20:37.058970112,0.789850045875,4.475472784971154,8.73353806823077,-0.0031261866831442334,-0.003935265744548077,-0.08248200074408653,227.8499985,,,,,,,,4.85901588448,-59.9449426268,-15.3724877164
2021-06-02 08:20:37.308970112,0.7419331979317308,4.380783718403846,8.892968471259614,0.04409700498856539,-0.060321166988596145,-0.011335915397408653,235.6000061,,,,,,,,5.59150392532,-58.4453187572,-14.915719642799997
2021-06-02 08:20:37.558970112,0.9347193527461539,4.540240044759615,8.452729426961538,0.03888424609920384,-0.04715270974622116,0.00478545966391827,234.6999969,,,,,,,,5.11960788732,-58.65076736440001,-12.9110158152
2021-06-02 08:20:37.808970112,0.9905365407509616,4.494060277846153,8.592304009663462,-0.02536778183466731,0.00027018243123557703,-0.03502974095595192,232.0,,,,,,,,5.07861595148,-58.0646789548,-12.334199754000002
2021-06-02 08:20:38.058970112,0.867264324141905,4.43016299292381,8.707968730066666,-0.05536243784591345,0.005861784229418269,-0.053262650722466345,236.59999845,,,,,,,,5.755471839959999,-57.1823748772,-13.509303665200001
2021-06-02 08:20:38.308970112,0.8390984781663461,4.340097101817308,8.743235872278847,-0.04394135635720385,0.010090726784725963,0.043229190820836545,241.6000061,,,,,,,,6.10975988384,-56.76855072120001,-14.165663756799999
2021-06-02 08:20:38.558970112,0.9497895274980769,4.183505287500001,8.785708491625,-0.0440368011763,0.03413696398269038,0.013990751575230768,243.6000061,,,,,,,,5.523183918,-56.726582947199994,-14.937191657600001
2021-06-02 08:20:38.808970112,0.44344295311201914,4.267360480913462,8.711879033288461,0.10695700589171155,0.3830482184576924,-0.08216482999087499,246.5,,,,,,,,6.426959934319999,-56.49234313920001,-14.5453277588
2021-06-02 08:20:39.058970112,-0.2792412529436634,4.375095019,8.71935944373077,-0.12258500438626153,0.09610271934515194,0.008540114711649038,239.69999695,,,,,,,,8.43361583708,-55.837447357600006,-13.680591850799999
2021-06-02 08:20:39.308970112,-0.9110643462653846,3.0261441331730774,9.054210754471153,-1.152809737376923,0.3779030071099135,0.18983253252798077,255.1999969,,,,,,,,8.94747993472,-53.008999024000005,-19.940655707199998
2021-06-02 08:20:39.558970112,-0.6764785685990383,0.7644263121836539,10.754642037307692,0.2852025293241346,-0.17559509321675962,-0.09427017869883653,287.5,28.7067204,115.9058616,52.3024097,0.4399999976,110.4000015,22.20373535,41.23510361,8.9650478744,-45.24345519959999,-31.297879104
2021-06-02 08:20:39.808970112,-0.6065460311006106,4.47007743673077,7.968944930307692,1.9726148667809522,-0.052525591425428564,-0.1346147362700476,291.3999939,28.70672904,115.9058283,35.880049,0.1899999976,242.5,8.179191589,9.166032791,8.080303783400002,-53.604358520000005,-14.287175840172
2021-06-02 08:20:40.058970112,-0.6108370043625,6.331656057048077,6.6775857347596155,-0.3183116266816731,0.03044838679752885,-0.10373537399304807,154.6499977,,,,,,,,7.339031829880001,-55.3801910392,2.618119928776
2021-06-02 08:20:40.308970112,-0.5539096802558846,4.867147927105769,8.675604141721154,-0.7396890402117307,-0.16022993505965383,-0.0553800590920625,166.8999939,,,,,,,,9.10168788908,-55.44411880559999,-5.921391853576
