"event","experiment time","system time","system time text"
"START",0.000000000E0,1622884903.222,"2021-06-05 11:21:43.222 UTC+02:00"
"PAUSE",3.000948514E2,1622885203.317,"2021-06-05 11:26:43.317 UTC+02:00"
