"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.251680770E-1,-4.307824707E1,-3.165309143E1,-5.516605377E1
9.351680770E-1,-4.246468353E1,-2.959392548E1,-5.610321808E1
9.451680770E-1,-4.323513412E1,-2.929919434E1,-5.535198212E1
9.551680770E-1,-4.308704758E1,-2.733885193E1,-5.258524323E1
9.651680770E-1,-4.231183243E1,-2.986787415E1,-5.485813141E1
9.751680770E-1,-4.385120010E1,-2.915417480E1,-5.490468597E1
9.851680770E-1,-4.077562332E1,-3.039479828E1,-5.218282318E1
9.951680770E-1,-4.323629761E1,-2.957317352E1,-5.395597076E1
1.005168077E0,-4.231431198E1,-2.867702484E1,-5.409816742E1
1.015168077E0,-4.416096115E1,-2.913105011E1,-5.305548859E1
1.025168077E0,-4.262320328E1,-2.866548157E1,-5.302263641E1
1.035168077E0,-4.339168930E1,-2.868641663E1,-5.366056061E1
1.045168077E0,-4.108174896E1,-2.940697479E1,-5.483287811E1
1.055168077E0,-4.323675537E1,-2.898817444E1,-5.427228546E1
1.065168077E0,-4.308153534E1,-2.987259674E1,-5.441294098E1
1.075168077E0,-4.169606018E1,-3.029845428E1,-5.468308258E1
1.085168077E0,-4.293029785E1,-2.896729279E1,-5.318154144E1
1.095168077E0,-4.169899750E1,-2.852259064E1,-5.423941803E1
1.105168077E0,-4.308490372E1,-2.765682983E1,-5.412914276E1
1.115168077E0,-4.139280701E1,-2.893236542E1,-5.236988068E1
1.125168077E0,-4.215862656E1,-2.927822113E1,-5.501592255E1
1.135168077E0,-4.323447418E1,-3.003160858E1,-5.503395844E1
1.145168077E0,-4.185220337E1,-2.911224365E1,-5.408162689E1
1.155168077E0,-4.062092590E1,-2.852246094E1,-5.529595184E1
1.165168077E0,-4.246494675E1,-3.002456665E1,-5.532442474E1
1.175168077E0,-4.308113098E1,-3.016741943E1,-5.440950775E1
1.185168077E0,-4.138878632E1,-2.999896240E1,-5.467890167E1
1.195168077E0,-4.246624756E1,-2.957308197E1,-5.471063995E1
1.205168077E0,-4.323553848E1,-2.900438690E1,-5.535540009E1
1.215168077E0,-4.216185760E1,-2.778791809E1,-5.394991302E1
1.225168077E0,-4.384789658E1,-3.194800568E1,-5.440796661E1
1.235168077E0,-4.384789658E1,-3.194800568E1,-5.440796661E1
1.245168077E0,-4.261783218E1,-3.047377014E1,-5.563256073E1
1.255168077E0,-4.261783218E1,-3.047377014E1,-5.563256073E1
1.265168077E0,-4.246858215E1,-2.823945618E1,-5.426184845E1
1.275168077E0,-4.323542786E1,-2.958475494E1,-5.472963715E1
1.285168077E0,-4.215944290E1,-2.955683136E1,-5.392937469E1
1.295168077E0,-4.261870193E1,-3.046218872E1,-5.485889435E1
1.305168077E0,-3.985168076E1,-3.068254852E1,-5.262081146E1
1.315168077E0,-4.416061401E1,-2.913568115E1,-5.336495209E1
1.325168077E0,-4.292987823E1,-2.752562714E1,-5.536492157E1
1.335168077E0,-4.169576645E1,-3.001289368E1,-5.530542755E1
1.345168077E0,-4.323582840E1,-2.928993225E1,-5.473305511E1
1.355168077E0,-4.231417465E1,-2.940248871E1,-5.331594086E1
1.365168077E0,-4.231015778E1,-3.046910095E1,-5.562496185E1
1.375168077E0,-4.077258301E1,-3.086944580E1,-5.434395599E1
1.385168077E0,-4.154277039E1,-3.014407349E1,-5.437151337E1
1.395168077E0,-4.185280609E1,-2.867002106E1,-5.408676910E1
1.405168077E0,-4.169839478E1,-2.896482849E1,-5.423429108E1
1.415168077E0,-4.169948196E1,-2.779249573E1,-5.471218109E1
1.425168077E0,-4.262501907E1,-2.733879852E1,-5.303803253E1
1.435168077E0,-4.246624756E1,-2.957308197E1,-5.471063995E1
1.445168077E0,-4.308341217E1,-2.912397003E1,-5.364783478E1
1.455168077E0,-4.292827606E1,-2.957313538E1,-5.425783539E1
1.465168077E0,-4.169986725E1,-2.851100922E1,-5.346575165E1
1.475168077E0,-4.292705917E1,-2.958934784E1,-5.534095001E1
1.485168077E0,-4.339056396E1,-2.913558960E1,-5.411962128E1
1.495168077E0,-4.477417374E1,-3.032661438E1,-5.352120209E1
1.505168077E0,-4.154224777E1,-3.015102386E1,-5.483571625E1
1.515168077E0,-4.246630096E1,-2.928289032E1,-5.502352142E1
1.525168077E0,-4.323529053E1,-3.031021881E1,-5.394741058E1
1.535168077E0,-4.354523849E1,-2.927143860E1,-5.319332123E1
1.545168077E0,-4.338915253E1,-3.016745758E1,-5.410764313E1
1.555168077E0,-4.231436920E1,-2.838683319E1,-5.441106415E1
1.565168077E0,-4.215903091E1,-2.898341370E1,-5.501935577E1
1.575168077E0,-4.139026260E1,-2.954515839E1,-5.391037750E1
1.585168077E0,-4.169919205E1,-2.750695038E1,-5.533452606E1
1.595168077E0,-4.108242798E1,-3.041104889E1,-5.296408844E1
1.605168077E0,-4.231444168E1,-2.983312988E1,-5.253713226E1
1.615168077E0,-4.215868378E1,-3.173785400E1,-5.189215851E1
1.625168077E0,-4.292827606E1,-2.957313538E1,-5.425783539E1
1.635168077E0,-4.292900848E1,-3.028701782E1,-5.270194244E1
1.645168077E0,-4.293055344E1,-2.852968597E1,-5.349614716E1
1.655168077E0,-4.354336166E1,-3.002006531E1,-5.395842743E1
1.665168077E0,-4.169646072E1,-3.000363159E1,-5.468650055E1
1.675168077E0,-4.308201981E1,-2.914250183E1,-5.488568878E1
1.685168077E0,-4.169706726E1,-2.956140900E1,-5.469164276E1
1.695168077E0,-4.215990067E1,-2.897183228E1,-5.424568939E1
