"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.305255410E-1,1.575316638E-1,-5.056672730E-3,1.125517488E-2
4.356071560E-1,1.490095556E-1,-1.411141269E-2,1.125517488E-2
4.407100730E-1,1.372916549E-1,-2.316615172E-2,1.232043747E-2
4.457523640E-1,1.261063963E-1,-3.115562722E-2,1.498359721E-2
4.508275730E-1,1.021379605E-1,-3.861247003E-2,1.711412333E-2
4.558537180E-1,7.284321636E-2,-4.234089330E-2,1.764675602E-2
4.609037180E-1,3.609162569E-2,-4.713458195E-2,1.658149064E-2
4.659703330E-1,-7.584177423E-3,-4.606931284E-2,1.178780664E-2
4.710313230E-1,-5.179261416E-2,-4.447142407E-2,9.124647826E-3
4.760856460E-1,-9.866420925E-2,-3.807983920E-2,7.526752539E-3
4.811163230E-1,-1.391442269E-1,-2.742720582E-2,1.667803153E-3
4.862012180E-1,-1.716347635E-1,-1.677457057E-2,-4.723777995E-3
4.912867910E-1,-1.977337152E-1,-2.926145680E-3,-1.058272738E-2
4.963301250E-1,-2.089189887E-1,1.624859869E-2,-1.750694029E-2
5.014019480E-1,-2.121147811E-1,3.382544592E-2,-2.336589061E-2
5.064441350E-1,-2.089189887E-1,5.033702776E-2,-2.869220637E-2
5.115022600E-1,-1.977337152E-1,6.471808255E-2,-3.029010445E-2
5.165595000E-1,-1.801568717E-1,7.643598318E-2,-3.242063150E-2
5.216170520E-1,-1.631126553E-1,8.282756805E-2,-3.455115855E-2
5.266767910E-1,-1.407421231E-1,8.602335304E-2,-3.188800067E-2
5.317338750E-1,-1.194368452E-1,8.389282972E-2,-2.869220637E-2
5.367902810E-1,-9.866420925E-2,7.377282530E-2,-2.815957554E-2
5.418305930E-1,-8.055473119E-2,5.832650885E-2,-2.176799625E-2
5.469107500E-1,-5.765156075E-2,4.234755412E-2,-2.017010003E-2
5.519384060E-1,-3.794418648E-2,1.997702010E-2,-1.484378148E-2
5.570240830E-1,-1.663891412E-2,-3.458777443E-3,-9.517463855E-3
5.620522600E-1,6.264248863E-3,-2.369878255E-2,-5.789041519E-3
5.671375730E-1,2.970004827E-2,-3.861247003E-2,-3.125882475E-3
5.721981980E-1,5.047268048E-2,-5.139563605E-2,-9.953556582E-4
5.772556460E-1,6.645163149E-2,-5.672195181E-2,3.265698440E-3
5.823095520E-1,8.402848244E-2,-5.192826316E-2,2.733066678E-3
5.873688750E-1,9.840954095E-2,-4.500405118E-2,2.733066678E-3
5.924281460E-1,1.085295379E-1,-3.275352344E-2,4.330961965E-3
5.974833020E-1,1.202474460E-1,-2.263352089E-2,3.265698440E-3
6.025428850E-1,1.314327121E-1,-9.317726828E-3,1.667803153E-3
6.075995520E-1,1.399548203E-1,4.530698992E-3,1.667803153E-3
6.126405410E-1,1.484769285E-1,1.252017543E-2,1.135171507E-3
6.177038230E-1,1.569990367E-1,1.784649305E-2,1.667803153E-3
6.227766350E-1,1.623253524E-1,2.104228176E-2,2.733066678E-3
6.278163750E-1,1.665864140E-1,2.050965093E-2,1.135171507E-3
6.328751250E-1,1.703148186E-1,1.731386036E-2,6.025396870E-4
6.379322600E-1,1.719127148E-1,1.092227921E-2,2.733066678E-3
6.429852810E-1,1.687169373E-1,2.932803705E-3,3.265698440E-3
6.480394480E-1,1.649885029E-1,-6.654568017E-3,4.863593727E-3
6.530978850E-1,1.596621871E-1,-1.570930704E-2,1.072254311E-2
6.581567910E-1,1.495421827E-1,-2.210089006E-2,1.018991135E-2
6.632225730E-1,1.346284896E-1,-3.009036556E-2,1.178780664E-2
6.682951250E-1,1.143884882E-1,-3.381878510E-2,1.391833369E-2
6.733508020E-1,8.882216364E-2,-3.754720837E-2,1.658149064E-2
6.783943960E-1,5.526636913E-2,-4.021036997E-2,1.817938685E-2
6.834540830E-1,1.318846177E-2,-4.180826619E-2,1.711412333E-2
6.885105930E-1,-2.729155309E-2,-4.127563164E-2,1.285307016E-2
6.935703850E-1,-6.990209967E-2,-3.648194298E-2,8.592016064E-3
6.986269480E-1,-1.162410602E-1,-2.636194229E-2,5.396225490E-3
7.036835620E-1,-1.535252780E-1,-1.677457057E-2,2.733066678E-3
7.087423120E-1,-1.817547679E-1,-5.589304492E-3,-4.191146232E-3
7.138004370E-1,-2.030600309E-1,9.857015684E-3,-1.005009469E-2
7.188580930E-1,-2.121147811E-1,2.423807606E-2,-1.590904593E-2
7.239277290E-1,-2.110495120E-1,3.915176913E-2,-1.963746734E-2
7.289724160E-1,-2.057231963E-1,5.353282019E-2,-2.336589061E-2
7.340323640E-1,-1.886789650E-1,6.791387498E-2,-2.336589061E-2
7.390878850E-1,-1.716347635E-1,7.590334862E-2,-2.389852330E-2
