"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.353850670E-1,-5.068082213E-1,-3.470145762E-1,1.344832778E0
4.403718900E-1,-4.338377416E-1,-4.093325138E-1,1.223925471E0
4.454573590E-1,-3.502145410E-1,-4.295724928E-1,1.082245350E0
4.505085050E-1,-2.564713359E-1,-4.072019458E-1,9.277821183E-1
4.555751710E-1,-1.462165713E-1,-3.438187838E-1,7.552094460E-1
4.606223070E-1,-3.170074150E-2,-2.516734898E-1,5.837019682E-1
4.656957960E-1,7.482559979E-2,-1.398208141E-1,4.137924612E-1
4.707514730E-1,1.659056395E-1,-2.051131614E-2,2.460134625E-1
4.758097550E-1,2.388761938E-1,9.453713894E-2,9.048498422E-2
4.808635570E-1,2.862803936E-1,1.808234900E-1,-4.906453937E-2
4.859536090E-1,3.107814491E-1,2.308908850E-1,-1.646456271E-1
4.909524630E-1,3.198361993E-1,2.420761287E-1,-2.605193257E-1
4.960242340E-1,3.224993646E-1,2.282277197E-1,-3.313593566E-1
5.010886610E-1,3.256951571E-1,1.957371831E-1,-3.750351667E-1
5.061768380E-1,3.491309583E-1,1.557897925E-1,-3.984709680E-1
5.112026190E-1,3.981330693E-1,1.185055599E-1,-4.016667604E-1
5.162728800E-1,4.588530958E-1,9.826555848E-2,-3.947425485E-1
5.213187130E-1,5.280953050E-1,9.773293138E-2,-3.814267516E-1
5.263575670E-1,5.957395434E-1,1.078529358E-1,-3.761004508E-1
5.314333480E-1,6.585900784E-1,1.211687252E-1,-3.782309592E-1
5.365000150E-1,7.182448506E-1,1.302234828E-1,-3.840899169E-1
5.415394420E-1,7.640511394E-1,1.227666214E-1,-3.920793831E-1
5.466067340E-1,7.981395721E-1,1.003960818E-1,-3.958078027E-1
5.516665780E-1,8.210427761E-1,6.950344890E-2,-3.963404298E-1
5.567387650E-1,8.311627507E-1,3.541501611E-2,-4.016667604E-1
5.617858480E-1,8.332932591E-1,2.391848713E-3,-4.027320445E-1
5.668409530E-1,8.316953778E-1,-1.784815826E-2,-4.075257182E-1
5.718977230E-1,8.300974965E-1,-3.222921491E-2,-4.123193920E-1
5.770799110E-1,8.327606320E-1,-4.075132310E-2,-4.027320445E-1
5.820114210E-1,8.439458609E-1,-4.927343130E-2,-3.856878281E-1
5.870535570E-1,8.561964631E-1,-6.418712437E-2,-3.537299037E-1
5.921162130E-1,8.593922257E-1,-8.762291819E-2,-3.084561825E-1
5.972599630E-1,8.551312089E-1,-1.211787239E-1,-2.546603978E-1
6.022447550E-1,8.487395644E-1,-1.648545265E-1,-2.024624795E-1
6.072930880E-1,8.407500982E-1,-2.159871757E-1,-1.502645761E-1
6.123567860E-1,8.354237676E-1,-2.617934942E-1,-9.913191944E-2
6.173970980E-1,8.327606320E-1,-3.075998425E-1,-5.758664384E-2
6.224818900E-1,8.338258862E-1,-3.427535295E-1,-2.562874183E-2
6.276126710E-1,8.428806663E-1,-3.528735340E-1,1.002845820E-3
6.325916300E-1,8.625880480E-1,-3.347640634E-1,2.390600927E-2
6.377303280E-1,8.934806585E-1,-2.905556262E-1,3.881970048E-2
6.426961090E-1,9.414175153E-1,-2.197155952E-1,4.680917785E-2
6.478416820E-1,9.936154485E-1,-1.206460893E-1,5.373338982E-2
6.528250150E-1,1.050074339E0,-3.467099741E-3,6.119023263E-2
6.579029840E-1,1.112392306E0,1.296908408E-1,7.024497539E-2
6.629378800E-1,1.164590240E0,2.724361420E-1,7.770182937E-2
6.680359530E-1,1.202407122E0,4.162467122E-1,9.101761132E-2
6.730614210E-1,1.229571342E0,5.611225367E-1,1.069965735E-1
6.781318380E-1,1.248746037E0,7.006720901E-1,1.256386787E-1
6.831680360E-1,1.271116614E0,8.231773973E-1,1.474765837E-1
6.882443900E-1,1.295084953E0,9.238447547E-1,1.623902768E-1
6.932765780E-1,1.325977683E0,9.904237390E-1,1.709123701E-1
6.983662650E-1,1.363794446E0,1.023979545E0,1.634555310E-1
7.034020980E-1,1.403209209E0,1.029305935E0,1.416176260E-1
7.084376190E-1,1.437297583E0,1.008000612E0,1.053986698E-1
7.135153280E-1,1.463396668E0,9.637921453E-1,5.586391687E-2
7.185761090E-1,1.475114584E0,8.870931864E-1,4.198636394E-3
7.236352750E-1,1.478842974E0,7.832300067E-1,-4.959717020E-2
7.287165250E-1,1.480440855E0,6.623226404E-1,-1.055234969E-1
7.337444940E-1,1.475114584E0,5.350236297E-1,-1.635803729E-1
7.388515780E-1,1.468722939E0,4.173119962E-1,-2.216372192E-1
7.438525150E-1,1.469255686E0,3.129161894E-1,-2.796940804E-1
7.489674110E-1,1.469788194E0,2.298256010E-1,-3.334898949E-1
7.539780880E-1,1.458070397E0,1.707034856E-1,-3.851551712E-1
7.590942860E-1,1.443156600E0,1.323540062E-1,-4.314941168E-1
7.640932960E-1,1.421318769E0,1.179729328E-1,-4.533320367E-1
7.691448070E-1,1.403209209E0,1.243645251E-1,-4.400162399E-1
7.742173070E-1,1.388828158E0,1.488655806E-1,-3.926120102E-1
7.792898070E-1,1.370718598E0,1.882803291E-1,-3.185762167E-1
7.843271500E-1,1.341423988E0,2.186403424E-1,-2.349530160E-1
