"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.487572049E1,5.232579071E1,4.868374210E0,1.004545925E1,1.919999957E0,3.492000122E2,5.360000134E0,6.000000000E0
4.587572070E1,5.232580964E1,4.868374010E0,1.003449945E1,1.929999948E0,3.099999905E0,6.432000160E0,6.000000000E0
4.687572060E1,5.232582823E1,4.868379870E0,9.998396136E0,1.960000038E0,1.069999981E1,7.504000187E0,6.000000000E0
4.787571992E1,5.232584651E1,4.868386460E0,1.001197542E1,1.970000029E0,9.100000381E0,7.504000187E0,6.000000000E0
4.887572112E1,5.232586496E1,4.868390560E0,9.969034973E0,1.970000029E0,5.699999809E0,8.576000214E0,6.000000000E0
4.987572075E1,5.232588235E1,4.868393690E0,9.986456249E0,1.870000005E0,5.800000191E0,8.576000214E0,6.000000000E0
5.087572044E1,5.232590824E1,4.868384390E0,9.247534738E0,1.860000014E0,1.100000024E0,7.504000187E0,6.000000000E0
5.187572112E1,5.232592683E1,4.868388180E0,9.576908762E0,1.870000005E0,2.310000038E1,6.432000160E0,6.000000000E0
5.287571997E1,5.232594562E1,4.868404840E0,9.129312871E0,1.909999967E0,2.270000076E1,5.360000134E0,6.000000000E0
5.387572091E1,5.232595652E1,4.868429610E0,9.308602594E0,1.889999986E0,4.800000000E1,6.432000160E0,6.000000000E0
5.487572086E1,5.232597342E1,4.868429530E0,8.636324083E0,1.919999957E0,3.377000122E2,5.360000134E0,6.000000000E0
5.587572060E1,5.232599329E1,4.868430210E0,7.578735244E0,1.940000057E0,2.339999962E1,5.360000134E0,6.000000000E0
5.687572003E1,5.232601018E1,4.868449650E0,7.769504965E0,1.950000048E0,3.060000038E1,5.360000134E0,6.000000000E0
5.787572070E1,5.232603012E1,4.868453270E0,7.514041925E0,1.980000019E0,6.199999809E0,6.432000160E0,6.000000000E0
5.887572060E1,5.232605036E1,4.868452060E0,7.532136122E0,1.990000010E0,3.500000000E0,7.504000187E0,6.000000000E0
5.987572086E1,5.232606995E1,4.868451240E0,7.527768689E0,2.000000000E0,2.900000095E0,7.504000187E0,6.000000000E0
6.087572034E1,5.232608902E1,4.868452320E0,7.512598386E0,2.009999990E0,5.699999809E0,1.179199982E1,6.000000000E0
6.187572081E1,5.232610785E1,4.868453860E0,7.525748320E0,2.019999981E0,3.299999952E0,1.286400032E1,6.000000000E0
6.287572055E1,5.232612650E1,4.868454210E0,7.527605818E0,2.019999981E0,5.000000000E-1,1.286400032E1,6.000000000E0
6.387572008E1,5.232614539E1,4.868455350E0,7.503096917E0,2.039999962E0,3.500000000E0,1.286400032E1,8.000000000E0
6.487572096E1,5.232616421E1,4.868457300E0,7.507396973E0,2.039999962E0,2.700000048E0,1.393600082E1,8.000000000E0
6.587572091E1,5.232618300E1,4.868459340E0,7.504616961E0,2.049999952E0,3.400000095E0,1.393600082E1,8.000000000E0
6.687572091E1,5.232620153E1,4.868462740E0,7.523077592E0,2.049999952E0,6.000000000E0,1.500800037E1,8.000000000E0
6.787572086E1,5.232621981E1,4.868466980E0,7.545810813E0,2.039999962E0,6.500000000E0,1.500800037E1,8.000000000E0
