"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.526553270E-1,-2.143585920E0,3.528635502E-1,-1.742330045E-1
4.577125660E-1,-2.140390158E0,2.250319272E-1,-2.392140776E-1
4.627861600E-1,-2.159564972E0,6.524239480E-2,-2.887488306E-1
4.678282950E-1,-2.192587852E0,-9.721028805E-2,-3.068583310E-1
4.728433470E-1,-2.228806734E0,-2.729787827E-1,-2.994014621E-1
4.779577750E-1,-2.269286871E0,-4.764440954E-1,-2.669109404E-1
4.830167330E-1,-2.306571245E0,-6.932252645E-1,-2.168435305E-1
4.881038680E-1,-2.341192007E0,-9.030821323E-1,-1.582540423E-1
4.931508470E-1,-2.371019602E0,-1.096427441E0,-1.017950773E-1
4.981905350E-1,-2.395520687E0,-1.276456952E0,-5.172769725E-2
5.032474100E-1,-2.418423891E0,-1.431985378E0,-6.241770461E-5
5.083029310E-1,-2.436533451E0,-1.575795889E0,4.308075458E-2
5.133629310E-1,-2.445588112E0,-1.716410756E0,6.332075596E-2
5.184208470E-1,-2.441859484E0,-1.826133013E0,6.225549802E-2
5.234785040E-1,-2.426413298E0,-1.888983369E0,4.787444323E-2
5.285377220E-1,-2.398716450E0,-1.906560302E0,2.124285139E-2
5.335921500E-1,-2.354507923E0,-1.873537183E0,-8.584526367E-3
5.386511600E-1,-2.293255329E0,-1.792044401E0,-2.669400536E-2
5.436958470E-1,-2.211762667E0,-1.672734976E0,-4.107506201E-2
5.487677750E-1,-2.110562801E0,-1.533185482E0,-5.012980103E-2
5.538236600E-1,-1.995513916E0,-1.384581208E0,-5.918454006E-2
5.588838680E-1,-1.866084456E0,-1.224791646E0,-5.705401301E-2
5.639415770E-1,-1.730263352E0,-1.065002084E0,-4.586874694E-2
5.690008470E-1,-1.601366401E0,-9.126695395E-1,-3.255295381E-2
5.740549100E-1,-1.486317992E0,-7.811094522E-1,-1.497610845E-2
5.791162640E-1,-1.380856872E0,-6.751157641E-1,2.068109345E-3
5.841711600E-1,-1.283385396E0,-5.946883559E-1,2.071022056E-2
5.892328270E-1,-1.198696852E0,-5.424904227E-1,3.668917343E-2
5.942872020E-1,-1.133715749E0,-5.174567699E-1,4.734181240E-2
5.993303270E-1,-1.083648443E0,-5.185219646E-1,5.852707475E-2
6.043921500E-1,-1.036244273E0,-5.451535583E-1,7.663656026E-2
6.094604310E-1,-9.893726110E-1,-5.840356946E-1,9.155024588E-2
6.145039200E-1,-9.430335760E-1,-6.277114749E-1,1.112576276E-1
6.195754830E-1,-8.950967789E-1,-6.772462726E-1,1.346934140E-1
6.246303270E-1,-8.397030830E-1,-7.161283493E-1,1.602597386E-1
6.296733470E-1,-7.779177427E-1,-7.464883924E-1,1.916850060E-1
6.347361080E-1,-7.086756229E-1,-7.566084266E-1,2.209797651E-1
6.398047540E-1,-6.271830201E-1,-7.416947484E-1,2.524050176E-1
6.448692850E-1,-5.313093066E-1,-6.980188489E-1,2.790366113E-1
6.499210040E-1,-4.263809025E-1,-6.261135936E-1,3.024724126E-1
6.549664720E-1,-3.102671504E-1,-5.360988379E-1,3.221797943E-1
6.600608470E-1,-1.941534281E-1,-4.354314506E-1,3.376260996E-1
6.650830870E-1,-7.857234031E-2,-3.342314065E-1,3.498766422E-1
6.701561600E-1,2.955191024E-2,-2.426187545E-1,3.573334813E-1
6.751987640E-1,1.259582639E-1,-1.589955688E-1,3.653229475E-1
6.802632950E-1,2.154403925E-1,-9.348186851E-2,3.818345368E-1
6.853146500E-1,2.905414402E-1,-4.767553508E-2,4.026072025E-1
6.903509000E-1,3.565877974E-1,-2.051131614E-2,4.207166433E-1
6.954429830E-1,4.162425399E-1,-6.130258553E-3,4.372282624E-1
7.005248060E-1,4.748320282E-1,-8.793417364E-3,4.500114322E-1
7.055475660E-1,5.312910676E-1,-1.411973499E-2,4.569356143E-1
7.106269930E-1,5.856195092E-1,-1.358710323E-2,4.601314366E-1
7.156753270E-1,6.399479508E-1,-2.157657966E-2,4.537398219E-1
7.207034000E-1,6.953416467E-1,-2.690289728E-2,4.382934868E-1
7.257761080E-1,7.533985376E-1,-6.662890315E-3,4.105966687E-1
7.308131390E-1,8.194448352E-1,3.701291233E-2,3.839650750E-1
7.358913160E-1,8.870890737E-1,9.187398106E-2,3.530724347E-1
7.409696500E-1,9.557985663E-1,1.765624434E-1,3.168534636E-1
7.460238680E-1,1.021312237E0,2.846866846E-1,2.891566157E-1
7.510955350E-1,1.079901814E0,3.944088221E-1,2.635902762E-1
7.561166290E-1,1.132632375E0,5.009351373E-1,2.353608161E-1
7.611816290E-1,1.168318629E0,5.909499526E-1,2.167187035E-1
7.662528790E-1,1.186428070E0,6.500720382E-1,2.007397413E-1
7.712974100E-1,1.192819715E0,6.612573266E-1,1.986092180E-1
7.763704830E-1,1.189091325E0,6.239731312E-1,2.092618495E-1
7.814141290E-1,1.180036545E0,5.446109772E-1,2.209797651E-1
7.864821500E-1,1.173644900E0,4.322257042E-1,2.199144810E-1
7.915006390E-1,1.168318629E0,3.006656170E-1,2.140555382E-1
7.965990770E-1,1.171514392E0,1.627140194E-1,1.938155293E-1
8.016714720E-1,1.186960697E0,3.914344311E-2,1.639881581E-1
8.067157430E-1,1.208266020E0,-6.418712437E-2,1.304323524E-1
8.117401700E-1,1.241289258E0,-1.472776681E-1,9.261551499E-2
8.168316290E-1,1.279106140E0,-2.117261142E-1,5.160286650E-2
8.218744930E-1,1.324379802E0,-2.692503631E-1,1.005758531E-2
8.269461600E-1,1.375512362E0,-3.134588003E-1,-2.935716324E-2
8.319882950E-1,1.422383904E0,-3.454166651E-1,-6.078243628E-2
8.370488680E-1,1.466059804E0,-3.619282842E-1,-9.167507291E-2
8.421206910E-1,1.500148177E0,-3.597977459E-1,-1.167087629E-1
8.471786080E-1,1.517725110E0,-3.459493220E-1,-1.422750950E-1
8.522213680E-1,1.507072449E0,-3.230461478E-1,-1.689066887E-1
8.572787640E-1,1.457005024E0,-2.926861346E-1,-1.960709095E-1
8.623358470E-1,1.372316599E0,-2.500755787E-1,-2.258982807E-1
8.674009000E-1,1.241821766E0,-1.829639971E-1,-2.551930547E-1
8.725080870E-1,1.067651272E0,-8.282923698E-2,-2.749004066E-1
8.775100660E-1,8.679143190E-1,4.713291675E-2,-2.951403856E-1
8.825560560E-1,6.559268832E-1,1.845519096E-1,-3.143151402E-1
8.877394410E-1,4.508636296E-1,3.155793250E-1,-3.276309371E-1
8.926857430E-1,2.718993425E-1,4.194425046E-1,-3.308267295E-1
8.977429310E-1,1.339477450E-1,4.934783578E-1,-3.281635940E-1
9.027991290E-1,4.126980901E-2,5.589920282E-1,-3.153804243E-1
9.078570970E-1,-8.264946751E-3,6.154510379E-1,-2.940751612E-1
9.129141810E-1,-2.530916035E-2,6.601920724E-1,-2.780961990E-1
9.179723580E-1,-1.998284459E-2,6.809647083E-1,-2.637151480E-1
9.230452220E-1,-1.199336816E-2,6.591268182E-1,-2.338877618E-1
9.280897020E-1,-8.264946751E-3,5.707099438E-1,-1.768961698E-1
9.331600140E-1,-1.731968671E-2,4.055941105E-1,-1.023277044E-1
9.382195970E-1,-3.542916477E-2,1.834866405E-1,-2.722663805E-2
9.432761080E-1,-7.164813578E-2,-5.992607027E-2,3.881970048E-2
9.483181390E-1,-1.068018302E-1,-2.830987871E-1,9.953972697E-2
9.533761080E-1,-1.307702512E-1,-4.503451288E-1,1.789018512E-1
9.584348060E-1,-1.265092045E-1,-5.504799485E-1,2.721123993E-1
9.634930350E-1,-9.082287550E-2,-5.920251608E-1,3.546703458E-1
9.685484520E-1,-2.584179491E-2,-5.733830929E-1,4.169882238E-1
9.736047540E-1,7.695613056E-2,-4.924230576E-1,4.516092837E-1
9.786657950E-1,2.197014391E-1,-3.555366993E-1,4.686535299E-1
9.837258470E-1,3.965351880E-1,-1.946818978E-1,4.686535299E-1
9.887829830E-1,5.834890008E-1,-5.300185084E-2,4.372282624E-1
9.938536600E-1,7.704427242E-1,4.233922809E-2,3.876934946E-1
9.989117330E-1,9.499396086E-1,9.080871195E-2,3.168534636E-1
1.003969285E0,1.105468035E0,1.147771403E-1,2.193818688E-1
1.009028556E0,1.235430241E0,1.440718919E-1,1.006049886E-1
1.014085900E0,1.338760734E0,1.824213862E-1,-3.734663874E-2
1.019141941E0,1.392023921E0,2.314235121E-1,-1.811572164E-1
1.024201837E0,1.380306005E0,2.772298455E-1,-3.073909581E-1
1.029259077E0,1.289226055E0,2.846866846E-1,-4.064604342E-1
1.034317879E0,1.118251204E0,2.484677136E-1,-4.725067914E-1
1.039357254E0,8.897522092E-1,1.813561171E-1,-5.092583895E-1
1.044432566E0,6.628510952E-1,1.291582137E-1,-5.294983983E-1
1.049487150E0,4.870825708E-1,1.536592692E-1,-5.438794494E-1
1.054545795E0,3.997309506E-1,2.750993073E-1,-5.518689156E-1
1.059615379E0,3.917414844E-1,4.870867431E-1,-5.486731529E-1
1.064664285E0,4.375478327E-1,7.688488960E-1,-5.310962796E-1
1.069716264E0,5.179752707E-1,1.086297631E0,-5.012689233E-1
1.074777931E0,6.111858487E-1,1.415463924E0,-4.773004651E-1
1.079819181E0,7.145164013E-1,1.735575676E0,-4.746373296E-1
1.084891368E0,8.263690472E-1,2.006685257E0,-4.815615416E-1
1.089969702E0,9.408848882E-1,2.174464226E0,-4.757025540E-1
1.095007514E0,1.060194373E0,2.243173599E0,-4.533320367E-1
1.100068868E0,1.186428070E0,2.245304346E0,-4.091235995E-1
1.105112983E0,1.323314428E0,2.190443277E0,-3.521319926E-1
1.110183035E0,1.465527177E0,2.101493835E0,-2.908793390E-1
1.115225483E0,1.593358755E0,1.979521036E0,-2.322898656E-1
1.120295952E0,1.688699841E0,1.814405084E0,-1.726351082E-1
1.125353608E0,1.731842995E0,1.619994640E0,-1.097845584E-1
1.130396941E0,1.715331435E0,1.418659806E0,-4.214032367E-2
1.135457097E0,1.647687316E0,1.216792345E0,2.497127466E-2
1.140540066E0,1.535834551E0,9.984132648E-1,7.663656026E-2
1.145597827E0,1.397350192E0,7.715121508E-1,1.053986698E-1
1.150655691E0,1.240756631E0,5.419477820E-1,1.096597239E-1
1.155713504E0,1.076705933E0,3.187751174E-1,9.048498422E-2
1.160771316E0,9.233080149E-1,1.179729328E-1,5.479865521E-2
1.165829181E0,7.976069450E-1,-3.968606144E-2,7.394426968E-3
1.170836056E0,6.932111382E-1,-1.318313479E-1,-5.439085513E-2
1.175893868E0,6.170447469E-1,-1.520713568E-1,-1.273614019E-1
1.180951733E0,5.845542550E-1,-1.174502969E-1,-2.099193335E-1
1.186009545E0,5.984026790E-1,-1.625026204E-2,-3.015320003E-1
1.191067358E0,6.543290019E-1,1.515287459E-1,-3.910141289E-1
1.196125222E0,7.443437576E-1,3.789625168E-1,-4.751699269E-1
1.201205900E0,8.615227342E-1,6.415499449E-1,-5.486731529E-1
1.206263712E0,9.845606685E-1,9.307690263E-1,-6.093931794E-1
1.211321525E0,1.101207018E0,1.213596582E0,-6.536015868E-1
1.216379389E0,1.200276494E0,1.473520875E0,-6.818310618E-1
1.221437202E0,1.278040767E0,1.682312489E0,-6.919510961E-1
1.226495066E0,1.329173446E0,1.829318881E0,-6.802331805E-1
1.231551837E0,1.355805039E0,1.921996832E0,-6.472100019E-1
1.236609650E0,1.350478649E0,1.973129392E0,-5.960773826E-1
1.241667514E0,1.313194513E0,1.984314680E0,-5.374878645E-1
1.246725327E0,1.244485021E0,1.953421950E0,-4.810288846E-1
1.251783191E0,1.152872324E0,1.887908340E0,-4.277657270E-1
1.256841004E0,1.046345949E0,1.794165134E0,-3.771657050E-1
1.261893452E0,9.414175153E-1,1.688171387E0,-3.318920135E-1
1.266951264E0,8.343585730E-1,1.581112385E0,-2.903467417E-1
1.272009129E0,7.320932150E-1,1.474053502E0,-2.557256520E-1
1.277066941E0,6.442090273E-1,1.392028213E0,-2.216372192E-1
1.282124754E0,5.712384582E-1,1.341428161E0,-1.859509051E-1
1.287182618E0,5.185078979E-1,1.313198686E0,-1.555908918E-1
1.292263347E0,4.812236428E-1,1.308937550E0,-1.342856139E-1
1.297321160E0,4.673751891E-1,1.331308126E0,-1.236329749E-1
1.302379025E0,4.668425620E-1,1.360602856E0,-1.151108742E-1
1.307436837E0,4.833541512E-1,1.402148128E0,-1.156435013E-1
1.312494650E0,5.051921010E-1,1.445823908E0,-1.241656169E-1
1.317552514E0,5.259647369E-1,1.492695570E0,-1.305572093E-1
1.322583452E0,5.424763560E-1,1.541697741E0,-1.332203597E-1
1.327641264E0,5.557921529E-1,1.581645131E0,-1.390793025E-1
