"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.552281840E-1,-2.025702715E0,6.508610249E-1,-1.274396330E-1
4.602976630E-1,-2.089618444E0,7.818884850E-1,-1.505433861E-2
4.653425070E-1,-2.115717649E0,8.521958590E-1,8.348254114E-2
4.704214130E-1,-2.125837564E0,8.761643171E-1,1.436699182E-1
4.754604230E-1,-2.121043682E0,8.676421642E-1,1.628446579E-1
4.805507360E-1,-2.103467226E0,8.186400533E-1,1.687036157E-1
4.855931840E-1,-2.067248106E0,7.259621024E-1,1.601815075E-1
4.906943820E-1,-2.030496597E0,5.949347019E-1,1.239625514E-1
4.956950590E-1,-2.012387037E0,4.356777966E-1,6.537306309E-2
5.007974030E-1,-2.020376444E0,2.865408957E-1,4.120405763E-3
5.058295380E-1,-2.046475410E0,1.906671971E-1,-6.458909065E-2
5.108913090E-1,-2.078433514E0,1.587092876E-1,-1.317006946E-1
5.159559440E-1,-2.105597496E0,1.608398110E-1,-1.759091318E-1
5.209824550E-1,-2.130631208E0,1.714924425E-1,-1.892249286E-1
5.260599030E-1,-2.145012379E0,1.613724530E-1,-1.854965091E-1
5.311053710E-1,-2.148208141E0,9.745662659E-2,-1.647238582E-1
5.361636530E-1,-2.138088226E0,-3.037499078E-2,-1.348964870E-1
5.412322980E-1,-2.123174429E0,-1.848381907E-1,-1.013406739E-1
5.463120380E-1,-2.098673344E0,-3.195940554E-1,-7.417646050E-2
5.513477150E-1,-2.074172258E0,-3.978908956E-1,-4.647961259E-2
5.564075070E-1,-2.053399801E0,-4.202614427E-1,-1.825012825E-2
5.614892780E-1,-2.037953377E0,-4.309140742E-1,1.424040925E-2
5.665071940E-1,-2.025702715E0,-4.639372528E-1,4.193726182E-2
5.715811010E-1,-2.021974325E0,-5.156025290E-1,6.270989776E-2
5.766140170E-1,-2.027300835E0,-5.720614791E-1,7.762359828E-2
5.817001630E-1,-2.043279648E0,-6.263898611E-1,8.827622980E-2
5.867645380E-1,-2.066182613E0,-6.791204214E-1,8.987411857E-2
5.918129230E-1,-2.091216326E0,-7.089478374E-1,8.241727948E-2
5.968981840E-1,-2.123707056E0,-6.897730827E-1,6.856885552E-2
6.019285480E-1,-2.159926176E0,-6.274551153E-1,4.832884297E-2
6.069971420E-1,-2.183894396E0,-5.555498600E-1,3.181725740E-2
6.120372460E-1,-2.202003956E0,-4.863077700E-1,2.489304356E-2
6.171179760E-1,-2.213189363E0,-4.154677391E-1,3.075199202E-2
6.221522460E-1,-2.215852261E0,-3.638024926E-1,5.418779328E-2
6.272177150E-1,-2.225439787E0,-3.398340344E-1,9.946149588E-2
6.322716210E-1,-2.232896566E0,-3.148003519E-1,1.516593993E-1
6.373406320E-1,-2.243016481E0,-2.812445760E-1,1.995962560E-1
6.423834960E-1,-2.251538754E0,-2.684614062E-1,2.363478541E-1
6.474454230E-1,-2.262723923E0,-2.897666693E-1,2.635120451E-1
6.524966730E-1,-2.280300856E0,-3.243877292E-1,2.826867998E-1
6.575559960E-1,-2.309595585E0,-3.606067002E-1,2.906762958E-1
6.626142260E-1,-2.354336500E0,-4.037498534E-1,3.018615544E-1
6.676929230E-1,-2.411328077E0,-4.586109221E-1,3.247646987E-1
6.727294860E-1,-2.477374554E0,-5.475603938E-1,3.625815809E-1
6.777887570E-1,-2.549812317E0,-6.855120063E-1,4.163773656E-1
6.828401630E-1,-2.619587183E0,-8.586173654E-1,4.728363454E-1
6.879055280E-1,-2.692025185E0,-1.017874241E0,5.223711133E-1
6.929653710E-1,-2.754343033E0,-1.125465870E0,5.665795207E-1
6.980323510E-1,-2.802279949E0,-1.151564837E0,5.958742499E-1
7.030757880E-1,-2.840629578E0,-1.069539547E0,6.182448268E-1
7.081255280E-1,-2.859803915E0,-8.943036199E-1,6.443437338E-1
7.131902670E-1,-2.864597797E0,-6.892404556E-1,6.848237514E-1
7.182712570E-1,-2.868859053E0,-5.374403596E-1,7.593922019E-1
